original,final
C3,C3
c3,C3
C3?,C3
3,C3
C3.,C3
C4,C4
c4,C4
C4?,C4
CAM,CAM
CAM?,CAM
C3/C4,Multi
C3/CAM,Multi
C4/CAM,Multi
C3/C4/CAM,Multi
unknown,NULL
shrub,NULL
http://tropical.theferns.info/viewtropical.php?id=Vochysia+haenkeana,NULL
