genus,species,subspecies,variant,wood
Quercus,agrifolia,,agrifolia,woody
Hypochaeris,microcephala,,albiflora,non-woody
Phyllocladus,aspleniifolius,,alpinus,woody
Verticordia,plumosa,,ananeotes,woody
Phyllanthus,maderaspatensis,,angustifol,non-woody
Mimosa,dolens,,anisitsii,semi-woody
Piper,arboreum,,arboreum,woody
Pinus,ponderosa,,arizonica,woody
Camellia,sinensis,,assamica,woody
Elaeodendron,australe,,australe,woody
Cupaniopsis,flagelliformis,,australis,woody
Agrostis,avenacea,,avenacea,non-woody
Oryza,sativa,,Azucena,non-woody
Oryza,sativa,,Azucena,non-woody
Oryza,sativa,,Bala,non-woody
Picea,likiangensis,,balfouriana,woody
Mimosa,hirsutissima,,barbigera,semi-woody
Lonicera,nigra,,barbinervis,woody
Stipa,subsessiliflora,,basiplumosa,non-woody
Stipa,subsessiliflora,,basiplumosa,non-woody
Rubus,leucodermis,,bernardinus,woody
Nyssa,sylvatica,,biflora,woody
Cyperus,malaccensis,,brevifolius,non-woody
Banksia,sphaerocarpa,,caesia,woody
Corylus,cornuta,,californica,woody
Styrax,officinalis,,californicus,woody
Vitex,negundo,,cannabifolia,woody
Vitex,negundo,,cannabifolia,woody
Vitex,negundo,,cannabifolia,woody
Vitex,negundo,,cannabifolia,woody
Mimosa,gracilis,,capillipes,non-woody
Castanopsis,eyrei,,Caudata,woody
Pinus,leiophylla,,chihuahuana,woody
Nothofagus,solandri,,cliffortioides,woody
Banksia,spinulosa,,collina,woody
Banksia,spinulosa,,collina,woody
Photinia,prunifolia,,consimilis,woody
Pinus,contorta,,contorta,woody
Medusantha,eriophylla,,coriifolia,woody
Bauhinia,ungulata,,cuiabensis,woody
Ceanothus,cuneatus,,cuneatus,woody
Mimosa,debilis,,debilis,semi-woody
Prunus,virginiana,,demissa,woody
Acer,glabrum,,diffusum,woody
Sapindus,saponaria,,drummondii,woody
Bauhinia,dumosa,,dumosa,woody
Lonicera,caerulea,,edulis,woody
Solanum,ferrocissimum,,ferro,woody
Hakea,orthorryncha,,filiformis,woody
Leucadendron,brunioides,,flumenlupinum,woody
Garuga,foribunda,,gamblei,woody
Quercus,virginia,,geminata,woody
Acacia,gerrardii,,gerrardii,woody
Cercocarpus,montanus,,glaber,woody
Dichapetalum,angolense,,glabriusculum,woody
Prosopis,glandulosa,,glandulosa,woody
Knema,cinerea,,glauca,woody
Pseudotsuga,menziesii,,glauca,woody
Mimosa,ulei,,grallator,semi-woody
Hibiscus,sturtii,,grandiflorus,non-woody
Mimosa,hirsutissima,,grossa,semi-woody
Castanopsis,carlesii,,hainanca,woody
Castanopsis,carlesii,,hainanca,woody
Vitex,negundo,,heterophylla,woody
Salix,exigua,,hindsiana,woody
Mimosa,brevipetiolata,,hirtula,semi-woody
Cyrtostylis,reniformis,,huegelii,non-woody
Saussurea,superba,,humilis,non-woody
Mimosa,hypoglauca,,hypoglauca,woody
Mimosa,radula,,imbricata,semi-woody
Protium,divaricatum,,intermedium,woody
Mimosa,gracilis,,invisiformis,semi-woody
Populus,nigra,,italica,woody
Hedysarum,fruticosum,,laeve,woody
Leucadendron,lanigerum,,laevigatum,woody
Tetrazygia,hispida,,laevior,woody
Brachycome,ciliaris,,lanuginosa,non-woody
Brachyscome,ciliaris,,lanuginosa,non-woody
Mimosa,lanuginosa,,lanuginosa,semi-woody
Pinus,contorta,,latifolia,woody
Madhuca,longifolia,,latifolia,woody
Ligustrum,lucidum,,latifolium,woody
Oryza,sativa,,Lemont,non-woody
Pouteria,robusta,,longifolia,woody
Cola,lateritia,,maclaudii,woody
Pygeum,latifolium,,macrocarpa,woody
Apeiba,echinata,,macropetala,woody
Syringa,reticulata,,mandshurica,woody
Pseudotsuga,menziesii,,menziesii,woody
Picea,jezoensis,,microsperma,woody
Quercus,velutina,,missouriensis,woody
Mimosa,modesta,,modesta,semi-woody
Vaccinium,molle,,mollissimum,woody
Pinus,sylvestris,,mongolica,woody
Cercocarpus,montanus,,montanus,woody
Oryza,sativa,,Moroberekan,non-woody
Mimosa,foliolosa,,multipinna,woody
Pinus,contorta,,murrayana,woody
Cassia,nemophila,,nemophila,woody
Banksia,spinulosa,,neoanglica,woody
Ptilotus,obovatus,,obovatus,woody
Bauhinia,ungulata,,obtusifolia,woody
Hakea,orthorryncha,,orthorryncha,woody
Nephelium,lappaceum,,pallens,woody
Senna,pendula,,paludicola,woody
Mimosa,papposa,,papposa,semi-woody
Grewia,biloba,,parviflora,woody
Grewia,biloba,,parviflora,woody
Bauhinia,ungulata,,parvifolia,woody
Cercocarpus,montanus,,paucidentatus,woody
Euonymus,verrucosus,,pauciflorus,woody
Psychotria,pedunculata,,pedunculata,woody
Olearia,pimeleoides,,pimeleoides,woody
Agropyron,scabrum,,plurinerve,non-woody
Mimosa,polycephala,,polycephala,semi-woody
Pinus,ponderosa,,ponderosa,woody
Thermopsis,lanceolata,,przewalskii,non-woody
Thermopsis,lanceolata,,przewalskii,non-woody
Mimosa,pseudoradula,,pseudoradula,semi-woody
Lasiococca,comberi,,pseudoverticillata,woody
Cryptocarya,triplinervis,,pubens,woody
Vitex,quinata,,puberula,woody
Mimosa,foliolosa,,pubescens,woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Scorzonera,mongolica,,putjatae,non-woody
Populus,alba,,pyramidalis,woody
Sambucus,racemosa,,racemosa,woody
Hippocratea,africana,,richardiana,woody
Mimosa,dolens,,rigida,semi-woody
Capparis,erythrocarpos,,rosea,woody
Pinus,ponderosa,,scopulorum,woody
Acacia,sieberiana,,sieberiana,woody
Kochia,scoparia,,sieversiana,non-woody
Kochia,scoparia,,sieversiana,non-woody
Kochia,scoparia,,sieversiana,non-woody
Juniperus,virginiana,,silicicola,woody
Vitex,trifolia,,simplicifolia,woody
Aeluropus,littoralis,,sinensis,non-woody
Aeluropus,littoralis,,sinensis,non-woody
Aeluropus,littoralis,,sinensis,non-woody
Swartzia,brachyrachis,,snethlageae,woody
Ziziphus,jujuba,,spinosa,woody
Ziziphus,jujuba,,spinosa,woody
Ziziphus,jujuba,,spinosa,woody
Ziziphus,jujuba,,spinosa,woody
Ziziphus,jujuba,,spinosa,woody
Ziziphus,jujuba,,spinosa,woody
Purshia,mexicana,,stansburiana,woody
Mimosa,gracilis,,stipitata,non-woody
Mimosa,xanthocentra,,subsericea,semi-woody
Betula,platyphylla,,Szechuanica,woody
Nephelium,lappaceum,,topengii,woody
Cryptocarya,triplinervis,,triplinervis,woody
Pithecellobium,alexandri,,troyannum,woody
Pleiocarpa,pycnantha,,tubicina,woody
Coffea,arabica,,typica,woody
Bauhinia,ungulata,,ungulata,woody
Tiarella,trifoliata,,unifoliata,non-woody
Mimosa,setosa,,urbica,woody
Bauhinia,dumosa,,viscidula,woody
Cassia,nemophila,,zygophylla,woody
Silene,acaulis,acaulis,,woody
Aspalathus,lactea,adelphea,,woody
Olea,europaea,africana,,woody
Syzygium,guineense,afromontanum,,woody
Pseudofumaria,alba,alba,,non-woody
Silene,latifolia,alba,,non-woody
Eugenia,capensis,albanensis,,woody
Aspidosperma,album,album,,woody
Ephedra,alata,alenda,,woody
Deschampsia,cespitosa,alpina,,non-woody
Armeria,maritima,alpina,,non-woody
Anthoxanthum,monticola,alpinum,,non-woody
Juncus,alpinus,alpinus,,non-woody
Juncus,alpinus,alpinus,,non-woody
Juncus,alpinus,alpinus,,non-woody
Juncus,alpinus,alpinus,,non-woody
Viburnum,opulus,americana,,woody
Boronia,ramosa,anethifolia,,woody
EUPHRASIA,OFFICINALIS,ANGLICA,,non-woody
EUPHRASIA,OFFICINALIS,ANGLICA,,non-woody
Vicia,sativa,angustifolia,,non-woody
Chamerion,angustifolium,angustifolium,,non-woody
Chamerion,angustifolium,angustifolium,,non-woody
Dodonaea,viscosa,angustissima,,woody
Chenopodium,desertorum,anidiophyllum,,woody
Scleranthus,annuus,annuus,,non-woody
Festuca,pratensis,apennina,,non-woody
Luzula,arctica,arctica,,non-woody
Luzula,arctica,arctica,,non-woody
Luzula,arctica,arctica,,non-woody
Luzula,arctica,arctica,,non-woody
Luzula,arctica,arctica,,non-woody
Luzula,arctica,arctica,,non-woody
Solidago,multiradiata,arctica,,semi-woody
Solidago,multiradiata,arctica,,semi-woody
Solidago,multiradiata,arctica,,semi-woody
Festuca,rubra,arenaria,,non-woody
Lamiastrum,galeobdolon,argentatum,,non-woody
Protea,argyrea,argyrea,,woody
Hakea,recurva,arida,,woody
Hakea,recurva,arida,,woody
Senna,artemisioides,artemisioides,,woody
Molinia,caerulea,arundinacea,,non-woody
Carex,atrata,aterrima,,non-woody
Arctostaphylos,glandulosa,atumescens,,woody
ELEOCHARIS,MAMILLATA,AUSTRIACA,,non-woody
ELEOCHARIS,MAMILLATA,AUSTRIACA,,non-woody
Populus,balsamifera,balsamifera,,woody
Populus,balsamifera,balsamifera,,woody
Gentianella,campestris,baltica,,non-woody
Eucalyptus,pachycalyx,banyabba,,woody
Ranunculus,peltatus,baudotii,,non-woody
Ranunculus,peltatus,baudotii,,non-woody
Hieracium,praealtum,bauhinii,,non-woody
Phebalium,elatius,beckleri,,woody
Phleum,pratense,bertolonii,,non-woody
Pilosella,flagellaris,bicapitata,,non-woody
Eucalyptus,globulus,bicostata,,woody
Syzygium,eucalyptoides,bleeser,,woody
Syzygium,eucalyptoides,bleeseri,,woody
Syzygium,eucalyptoides,bleseri,,woody
Puccinellia,distans,borealis,,non-woody
Eucalyptus,kochii,borealis,,woody
Eremaea,asterocarpa,brachyclada,,woody
Cerastium,brachypetalum,brachypetalum,,non-woody
Carex,viridula,brachyrrhyncha,,non-woody
Myosotis,laxa,caespitosa,,non-woody
Acacia,polyacantha,campylacantha,,woody
Sambucus,nigra,canadensis,,woody
Sambucus,nigra,canadensis,,woody
Sambucus,nigra,canadensis,,woody
Sambucus,nigra,canadensis,,woody
Sambucus,nigra,canadensis,,woody
Sambucus,nigra,canadensis,,woody
CAREX,CANESCENS,CANESCENS,,non-woody
CAREX,CANESCENS,CANESCENS,,non-woody
Viola,canina,canina,,non-woody
Viola,canina,canina,,non-woody
Arabis,alpina,caucasica,,non-woody
Sambucus,nigra,cerulea,,woody
Deschampsia,cespitosa,cespitosa,,non-woody
Veronica,chamaedrys,chamaedrys,,non-woody
Dubautia,ciliolata,ciliolata,,woody
Acacia,robusta,clavigera,,woody
Valeriana,officinalis,collina,,non-woody
Scabiosa,columbaria,columbaria,,non-woody
Liparia,splendens,comantha,,woody
Luzula,multiflora,congesta,,non-woody
Vicia,sativa,cordata,,non-woody
Betula,papyrifera,cordifolia,,woody
Hakea,pandicarpa,crassifolia,,woody
Cardamine,pratensis,crassifolia,,non-woody
Bryonia,cretica,cretica,,non-woody
Alnus,viridis,crispa,,woody
Alnus,viridis,crispa,,woody
Quercus,mongolica,crispula,,woody
Casuarina,cristata,cristata,,woody
Dodonaea,viscosa,cuneata,,woody
Dodonaea,viscosa,cuneata,,woody
Viola,tricolor,curtisii,,non-woody
Olea,europaea,cuspidata,,woody
Hakea,cygna,cygna,,woody
Hakea,cygna,cygna,,woody
Cardamine,pratensis,dentata,,non-woody
Sporobolus,indicus,diander,,non-woody
Sporobolus,indicus,diander,,non-woody
Bryonia,cretica,dioica,,non-woody
Bryonia,cretica,dioica,,non-woody
Bryonia,cretica,dioica,,non-woody
Asplenium,ruta-muraria,dolomiticum,,non-woody
Limonium,lobatum,echioides,,non-woody
Armeria,maritima,elongata,,non-woody
Caladenia,longicauda,eminens,,non-woody
Olea,europaea,europaea,,woody
Medicago,sativa,falcata,,non-woody
Medicago,sativa,falcata,,non-woody
Medicago,sativa,falcata,,non-woody
Hakea,orthorryncha,filiformis,,woody
Aconitum,napellus,firmum,,non-woody
Rothmannia,fischeri,fischeri,,woody
Pilosella,flagellaris,flagellaris,,non-woody
Leucadendron,spissifolium,fragrans,,woody
Alnus,viridis,fruticosa,,woody
Strychnos,henningsii,gerrardii,,woody
Metrosideros,polymorpha,glaberrima,,woody
Metrosideros,polymorpha,glaberrima,,woody
Metrosideros,polymorpha,glaberrima,,woody
Brachyloma,daphnoides,glabrum,,woody
Helianthemum,nummularium,glabrum,,non-woody
Stellaria,nemorum,glochidisperma,,non-woody
Cerastium,pumilum,glutinosum,,non-woody
Alyssum,montanum,gmelinii,,non-woody
QUERCUS,MONGOLICA,GROSSESERRATA,,woody
Bupleurum,baldense,gussonei,,woody
Crepis,vesicaria,haenseleri,,non-woody
Crepis,vesicaria,haenseleri,,non-woody
Armeria,maritima,halleri,,non-woody
Protea,roupelliae,hamiltonii,,woody
CALLITRICHE,BRUTIA,HAMULATA,,non-woody
CALLITRICHE,BRUTIA,HAMULATA,,non-woody
CALLITRICHE,BRUTIA,HAMULATA,,non-woody
Pauridiantha,paucinervis,holstii,,woody
Eucalyptus,densa,improcera,,woody
Trifolium,incarnatum,incarnatum,,non-woody
Parinari,capensis,incohata,,semi-woody
Acacia,nilotica,indica,,woody
Senecio,integrifolius,integrifolius,,non-woody
Plantago,major,intermedia,,non-woody
Gletitsia,triacanthos,intermis,,woody
Lonicera,involucrata,involucrata,,woody
Acacia,irrorata,irrorata,,woody
Ranunculus,japonicus,japonicus,,non-woody
Cheirodendron,platyphyllum,kawaiense,,woody
Arctostaphylos,peninsularis,keeleyi,,woody
Solanum,aphyodendron,Knapp,,woody
Dactylorhiza,traunsteineri,lapponica,,woody
Dactylorhiza,traunsteineri,lapponica,,non-woody
Salix,lucida,lasiandra,,woody
Spirea,alba,latifolia,,woody
Carex,divulsa,leersii,,non-woody
Hordeum,murinum,leporinum,,non-woody
Arenaria,serpyllifolia,leptoclados,,non-woody
Greggia,camporum,linearifolia,,non-woody
Eucalyptus,loxophleba,lissophloia,,woody
Odontites,verna,litoralis,,non-woody
Patersonia,sericea,longifolia,,non-woody
Erica,viscaria,longifolia,,woody
Conospermum,longifolium,longifolium,,woody
Coronilla,minima,lotoides,,woody
Olea,capensis,macrocarpa,,woody
Serratula,tinctoria,macrocephala,,non-woody
Dactylorhiza,maculata,maculata,,non-woody
Betula,platyphylla,mandshurica,,woody
Armeria,maritima,maritima,,non-woody
Plantago,maritima,maritima,,non-woody
Plantago,maritima,maritima,,non-woody
Beta,vulgaris,maritima,,non-woody
Anthyllis,vulneraria,maritima,,non-woody
Raphanus,raphanistrum,maritimus,,non-woody
Arenaria,serpyllifolia,marschlinsii,,non-woody
Cardamine,pratensis,matthioli,,non-woody
Sedum,telephium,maximum,,non-woody
Solanum,melongena,melongena,,semi-woody
Ballota,nigra,meridionalis,,non-woody
Bauhinia,brachycarpa,microphylla,,woody
Vaccinium,uliginosum,microphyllum,,woody
Limonium,minutum,minutum,,non-woody
Trifolium,incarnatum,molinerii,,non-woody
Trifolium,incarnatum,molinerii,,non-woody
Juncus,trifidus,monanthos,,non-woody
Pinus,sylvestris,mongolica,,woody
Pinus,sylvestris,mongolica,,woody
Pinus,sylvestris,mongolica,,woody
Pinus,sylvestris,mongolica,,woody
Pinus,sylvestris,mongolica,,woody
Pinus,sylvestris,mongolica,,woody
Populus,deltoides,monilifera,,woody
Crataegus,monogyna,monogyna,,woody
Viola,canina,montana,,non-woody
Allium,senescens,montanum,,non-woody
Leontodon,montanus,montanus,,non-woody
Thalictrum,fortunei,Moore,,non-woody
Rubus,innominatus,Moore,,woody
Leucospermum,saxosum,Moore,,woody
Rhus,tumulicola,Moore,,woody
Ziziphus,mucronata,mucronata,,woody
Endiandra,muelleri,muelleri,,woody
Eriochilus,dilatatus,multiflorus,,non-woody
Leucadendron,spissifolium,natalense,,woody
Hakea,cygna,needlei,,woody
Hakea,cygna,needlei,,woody
Sparganium,erectum,neglectum,,non-woody
Vicia,sativa,nigra,,non-woody
Acer,saccharum,nigrum,,woody
Helianthemum,nummularium,nummularium,,semi-woody
Hypericum,maculatum,obtusiusculum,,non-woody
Helianthus,occidentalis,occidentalis,,non-woody
Helianthus,occidentalis,occidentalis,,non-woody
Carex,viridula,oedocarpa,,non-woody
Asparagus,officinalis,officinalis,,non-woody
Daphniphyllum,glaucescens,oldhamii,,woody
SALIX,CINEREA,OLEIFOLIA,,woody
SALIX,CINEREA,OLEIFOLIA,,woody
Hoya,australis,oligotricha,,non-woody
Eucalyptus,sargentii,onesia,,woody
Festuca,arenaria,oraria,,non-woody
Festuca,arenaria,oraria,,non-woody
Festuca,arenaria,oraria,,non-woody
Leucadendron,spissifolium,oribinum,,woody
Tragopogon,pratensis,orientalis,,non-woody
Tragopogon,pratensis,orientalis,,non-woody
Juniperus,oxycedrus,oxycedrus,,woody
Hakea,pandicarpa,pandicarpa,,woody
Hakea,pandicarpa,pandicarpa,,woody
Dalbergia,lanceolaria,paniculata,,woody
Aconitum,variegatum,paniculatum,,non-woody
Hakea,obliqua,parviflora,,woody
Hakea,obliqua,parviflora,,woody
Acacia,deanei,paucijuga,,woody
Zannichellia,palustris,pedicellata,,non-woody
Amyema,pendulum,pendulum,,woody
Eucalyptus,conglobata,perata,,woody
Helianthus,petiolaris,petiolaris,,non-woody
Helianthus,petiolaris,petiolaris,,non-woody
Hakea,petiolaris,petiolaris,,woody
ARABIDOPSIS,LYRATA,PETRAEA,,non-woody
ARABIDOPSIS,LYRATA,PETRAEA,,non-woody
ARABIDOPSIS,LYRATA,PETRAEA,,non-woody
Leucadendron,spissifolium,phillipsii,,woody
Calamagrostis,purpurea,phragmitoides,,non-woody
Brachypodium,pinnatum,pinnatum,,non-woody
Brachypodium,pinnatum,pinnatum,,non-woody
Drosera,macrantha,planchonii,,non-woody
Alangium,villosum,polyosmoides,,woody
Erophila,verna,praecox,,non-woody
Dactylorhiza,majalis,praetermissa,,non-woody
Dactylorhiza,majalis,praetermissa,,non-woody
Phleum,pratense,pratense,,non-woody
Tragopogon,pratensis,pratensis,,non-woody
Erica,viridiflora,primulina,,woody
Arenaria,procera,procera,,non-woody
Asparagus,officinalis,prostratus,,non-woody
Eucalyptus,globulus,pseudoglobulus,,woody
Calamagrostis,purpurea,pseudopurpurea,,non-woody
Populus,alba,pyramidalis,,woody
Populus,alba,pyramidalis,,woody
Populus,alba,pyramidalis,,woody
Populus,alba,pyramidalis,,woody
Populus,alba,pyramidalis,,woody
Populus,alba,pyramidalis,,woody
Populus,alba,pyramidalis,,woody
Populus,alba,pyramidalis,,woody
Populus,alba,pyramidalis,,woody
Populus,alba,pyramidalis,,woody
Populus,alba,pyramidalis,,woody
Populus,alba,pyramidalis,,woody
Populus,alba,pyramidalis,,woody
Cochlearia,officinalis,pyrenaica,,non-woody
Raphanus,raphanistrum,raphanistrum,,non-woody
Hakea,recurva,recurva,,woody
Coincya,monensis,recurvata,,non-woody
Convolvulus,sepium,repens,,non-woody
Eucalyptus,racemosa,rossii,,woody
Allium,scorodoprasum,rotundum,,non-woody
Alnus,incana,rugosa,,woody
Helianthus,praecox,runyonii,,non-woody
Helianthus,praecox,runyonii,,non-woody
Valeriana,officinalis,sambucifolia,,non-woody
Valeriana,officinalis,sambucifolia,,non-woody
Medicago,sativa,sativa,,non-woody
Daucus,carota,sativus,,non-woody
Ulex,baeticus,scaber,,woody
Dubautia,scabra,scabra,,non-woody
Craibia,brevicaudata,schliebenii,,woody
Hakea,scoparia,scoparia,,woody
Hakea,scoparia,scoparia,,woody
Teucrium,scordium,scordium,,non-woody
Odontites,verna,serotina,,non-woody
Crassula,sieberana,sieberana,,non-woody
Alnus,crispa,sinuata,,woody
Alnus,viridis,sinuata,,woody
Alnus,viridis,sinuata,,woody
Ceanothus,oliganthus,sorediatus,,woody
Erophila,verna,spathulata,,non-woody
Dodonaea,viscosa,spatulata,,woody
Veronica,spicata,spicata,,semi-woody
Liparia,splendens,splendens,,woody
Nematolepis,squamea,squamea,,woody
Rubus,idaeus,strigosus,,woody
Eucalyptus,loxophleba,supralaevis,,woody
Valeriana,dioica,sylvatica,,non-woody
Scirpus,lacustris,tabernaemontani,,non-woody
Scirpus,lacustris,tabernaemontani,,non-woody
Aconitum,napellus,tauricum,,non-woody
Sedum,telephium,telephium,,non-woody
Alnus,incana,tenuifolia,,woody
Alnus,incana,tenuifolia,,woody
Hieracium,peleteranum,tenuiscapum,,non-woody
Veronica,austriaca,teucrium,,non-woody
Veronica,austriaca,teucrium,,semi-woody
Bromus,hordeaceus,thominii,,non-woody
Populus,balsamifera,trichocarpa,,woody
Populus,balsamifera,trichocarpa,,woody
Artemesia,tridentata,tridentata,,woody
Hakea,scoparia,trycherica,,woody
Vicia,villosa,varia,,non-woody
Artemesia,tridentata,vaseyana,,woody
Picris,hieracioides,villarsii,,non-woody
Lonicera,villosa,villosa,,non-woody
Eucalyptus,celastroides,virella,,woody
Carex,viridula,viridula,,non-woody
Dodonaea,viscosa,viscosa,,woody
Cerastium,fontanum,vulgare,,non-woody
Cerastium,fontanum,vulgare,,non-woody
Carlina,vulgaris,vulgaris,,non-woody
Juglans,californica,Watson,,woody
Rhus,ovata,Watson,,woody
Rhus,ovata,Watson,,woody
Protea,welwitschii,welwitschii,,woody
Drosera,whittakeri,whittakeri,,non-woody
Eucalyptus,viridis,wimmerensis,,woody
Artemesia,tridentata,wyomingensis,,woody
Senna,artemisioides,zygophylla,,woody
Aloe,aageodonta,,,non-woody
Musa,abaca,,,non-woody
Salsola,abarghuensis,,,semi-woody
Gardenia,abbeokutae,,,woody
Psoralea,abbottii,,,woody
Cassia,abbreviata,,,woody
Euthystachys,abbreviata,,,woody
Crotalaria,abbreviata,,,non-woody
Diuris,abbreviata,,,non-woody
Miconia,abbreviata,,,woody
Cassia,abbreviata,,,woody
Eucalyptus,abbreviata,,,woody
Ecclinusa,abbreviata,,,woody
Piper,abbreviatum,,,woody
Sesamum,abbreviatum,,,non-woody
Sonchus,abbreviatus,,,non-woody
Helleborus,abchasicus,,,non-woody
Homalium,abdessammadii,,,woody
Eucalyptus,abdita,,,woody
Eucalyptus,abdita,,,woody
Zelkova,abelicea,,,woody
Hibiscus,abelmoschus,,,non-woody
Quercus,abendanonii,,,woody
Bergenia,abendglut,,,non-woody
Cyphostemma,abercornense,,,non-woody
Oxalis,abercornensis,,,non-woody
Corymbia,abergiana,,,woody
Drosera,aberrans,,,non-woody
Habenaria,aberrans,,,non-woody
Satyrium,aberrans,,,non-woody
Guatteria,aberrans,,,woody
Sloanea,aberrans,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
