genus,species,subspecies,variant,span
Picea,engelmannii,,,perennial
Arctostaphylos,manzanita,,,perennial
Mammillaria,mercadensis,,,perennial
Silene,repens,,sinensis,perennial
Euphorbia,altotibetica,,,perennial
Begonia,decandra,,,perennial
Asperula,karataviensis,,,perennial
Begonia,ramentacea,,,perennial
Okoubaka,aubrevillei,,,perennial
Solanum,arcanum,,,perennial
Solanum,huaylasense,scheinvariana,,perennial
Silene,campanula,,,perennial
Solanum,luteoalbum,,,perennial
Asparagus,burjaticus,,,perennial
Begonia,zimmermannii,,,perennial
Cirsium,botryodes,,,perennial
Cirsium,chlorolepis,,,perennial
Cirsium,fangii,,,perennial
Cirsium,handelii,,,perennial
Cirsium,interpositum,,,perennial
Cirsium,lidjiangense,,,perennial
Cirsium,rydbergii,,,perennial
Cirsium,shansiense,,,perennial
Eragrostis,superba,,,perennial
Mammillaria,gracilis,,,perennial
Mammillaria,haageana,,,perennial
Quinchamalium,andinum,,,perennial
Misodendrum,angulatum,,,perennial
Quinchamalium,araucanum,,,perennial
Quinchamalium,berteroanum,,,perennial
Solanum,brachyantherum,,,annual/perennial
Quinchamalium,bracteosum,,,perennial
Quinchamalium,carnosum,,,perennial
Osmorhiza,depauperata,,,perennial
Quinchamalium,excrecens,,,perennial
Santalum,fernandezianum,,,perennial
Solanum,fernandezianum,,,perennial
Solanum,infundibuliforme,,,perennial
Quinchamalium,linarioides,,,perennial
Quinchamalium,litorale,,,perennial
Arjona,longifolia,,,perennial
Misodendrum,macrolepis,,,perennial
Quinchamalium,minutum,,,perennial
Solanum,paposanum,,,perennial
Quinchamalium,parviflorum,,,perennial
Gunnera,peltata,,,perennial
Quinchamalium,pratense,,,perennial
Quinchamalium,purpureum,,,perennial
Quinchamalium,rugosum,,,perennial
Quinchamalium,tarapacanum,,,perennial
Quinchamalium,thesioides,,,perennial
Lemna,valdiviana,,,perennial
Octoknema,affinis,,,perennial
Anacolosa,clarkii,,,perennial
Ongokea,klaineana,,,perennial
Octoknema,klaineana,,,perennial
Harmandia,mekongensis,,,perennial
Rhopalopilia,pallens,,,perennial
Melientha,suavis,,,perennial
Heisteria,trillesiana,,,perennial
Quinchamalium,brevistaminatum,,,perennial
Quinchamalium,elongatum,,,perennial
Quinchamalium,hoppii,,,perennial
Exocarpos,lauterbachianus,,,perennial
Quinchamalium,lomae,,,perennial
Exocarpos,pullei,,,perennial
Bouteloua,vaneedenii,,,perennial
Arctostaphylos,columbiana,,,perennial
Sidalcea,cusickii,,,perennial
Sidalcea,nelsoniana,,,perennial
Lasianthus,chevalieri,,,perennial
Solanum,foetens,,,perennial
Solanum,ombrophilum,,,perennial
Champereia,griffithiana,,,perennial
Schoepfia,vacciniiflora,,,perennial
Galium,karakulense,,,perennial
Galium,turkestanicum,,,perennial
Begonia,cyathophora,,,perennial
Antidaphne,viscoidea,,,perennial
Silene,sedoides,,,annual
Alopecurus,arundinaceus,,,perennial
Potentilla,betonicifolia,,,perennial
Silene,colorata,,,annual
Solanum,commersonii,,,perennial
Paspalum,dilatatum,,,perennial
Ximenia,ferox,,,perennial
SILENE,LATIFOLIA,,,annual/perennial
Anemone,multifida,,,perennial
Potamogeton,nodosus,,,perennial
Apodanthes,caseariae,,,perennial
Agelanthus,atrocoronatus,,,perennial
Oedina,brevispicata,,,perennial
Englerina,concinna,,,perennial
Oedina,congdoniana,,,perennial
Englerina,cordata,,,perennial
Tapinanthus,cordifolius,,,perennial
Viscum,cylindricum,,,perennial
Agelanthus,flammeus,,,perennial
Agelanthus,guineensis,,,perennial
Agelanthus,lancifolius,,,perennial
Englerina,longiflora,,,perennial
Tapinanthus,longiflorus,,,perennial
Englerina,macilenta,,,perennial
Agelanthus,microphyllus,,,perennial
Oncella,pendans,,,perennial
Agelanthus,pilosus,,,perennial
Tapinanthus,praetexta,,,perennial
Vanwykia,rubella,,,perennial
Agelanthus,validus,,,perennial
Silene,andryalifolia,,,perennial
Asparagus,turkestanicus,,,perennial
Rubus,allegheniensis,,,perennial
Cyperus,lancastriensis,,,perennial
Mammillaria,bocasana,,,perennial
Mammillaria,melanocentra,,,perennial
Valeriana,apula,,,perennial
Silene,ciliata,,,perennial
Festuca,heteromalla,,,perennial
Silene,velutina,,,perennial
Gentiana,panthaica,,,annual
Carex,mertensii,,,perennial
Poa,raduliformis,,,perennial
Dendropemon,caymanensis,,,perennial
Dendrophthora,mackenziei,,,perennial
Dendrophthora,nuda,,,perennial
Cassytha,paradoxae,,,perennial
Phoradendron,solandrae,,,perennial
Schoepfia,lucida,,,perennial
Campanula,aparinoides,,,perennial
Lupinus,argenteus,,,perennial
Potentilla,arguta,,,perennial
Gaillardia,aristata,,,perennial
Ribes,aureum,,,perennial
Ribes,aureum,,villosum,perennial
Polygonum,bistortoides,,,perennial
Artemisia,cana,,,perennial
Amorpha,canescens,,,perennial
Acer,circinatum,,,perennial
Erigeron,compositus,,,perennial
Rubus,cuneifolius,,,perennial
Ranunculus,cymbalaria,,,perennial
Hypericum,densiflorum,,,perennial
Arnica,fulgens,,,perennial
Penstemon,glaber,,,perennial
Callitriche,heterophylla,,,annual/biennial
Oxytropis,lambertii,,,perennial
Glycyrrhiza,lepidota,,,perennial
Linum,lewisii,,,perennial
Philadelphus,lewisii,,,perennial
Acer,macrophyllum,,,perennial
Euphorbia,marginata,,,annual
Arbutus,menziesii,,,perennial
Silene,ovata,,,perennial
Vaccinium,ovatum,,,perennial
Salix,planifolia,,,perennial
Thalictrum,pubescens,,,perennial
Clarkia,pulchella,,,annual
Ribes,sanguineum,,,perennial
Ceanothus,sanguineus,,,perennial
Lupinus,sericeus,,,perennial
Cleome,serrulata,,,annual
Castilleja,sessiliflora,,,perennial
Gaultheria,shallon,,,perennial
Rubus,spectabilis,,,perennial
Rubus,spectabilis,,,perennial
Geum,triflorum,,,perennial
Ribes,viscosissimum,,,perennial
Smilax,walteri,,,perennial
Begonia,rex,,,perennial
Strombosiopsis,pentamera,,,perennial
Heisteria,povedae,,,perennial
Thalictrum,pseudoichangense,,,perennial
Elatostema,wangii,,,perennial
Thalictrum,rhynchocarpum,,,perennial
Mammillaria,bombycina,,,perennial
Mammillaria,knippeliana,,,perennial
Begonia,casiguranensis,,,perennial
Begonia,isabelensis,,,perennial
Leptomeria,acida,,,perennial
Leptomeria,aphylla,,,perennial
Exocarpos,aphyllus,,,perennial
Poa,arctica,,,perennial
Anthobolus,filifolius,,,perennial
Nuytsia,floribunda,,,perennial
Choretrum,glomeratum,,,perennial
Octoknema,hulstaertiana,,,perennial
Exocarpos,humifusus,,,perennial
Choretrum,lateriflorum,,,perennial
Exocarpos,latifolius,,,perennial
Acacia,melanoxylon,,,perennial
Mammillaria,sanchez-mejoradae,,,perennial
Atriplex,semibaccata,,,perennial
Exocarpos,spartea,,,perennial
Exocarpos,sparteus,,,perennial
Olax,stricta,,,perennial
Exocarpos,strictus,,,perennial
Mammillaria,glassii,,,perennial
Asparagus,multituberosus,,,perennial
Solanum,campanulatum,,,perennial
Solanum,cinereum,,,perennial
Solanum,discolor,,,perennial
Solanum,echinatum,,,annual/perennial
Solanum,ellipticum,,,perennial
Solanum,furfuraceum,,,perennial
Cassytha,glabella,,,perennial
Solanum,hystrix,,,perennial
Cassytha,melantha,,,perennial
Solanum,parvifolium,,,perennial
Cassytha,pubescens,,,perennial
Solanum,pungetium,,,annual/perennial
Asparagus,rogersii,,,perennial
Cirsium,longistylum,,,perennial
Viscum,hainanense,,,perennial
Viscum,macrofalcatum,,,perennial
Galium,megacyttarion,,,perennial
Galium,rebae,,,perennial
Mammillaria,duoformis,,,perennial
Mammillaria,hertrichiana,,,perennial
Mammillaria,lindsayi,,,perennial
Mammillaria,neopalmeri,,,perennial
Mammillaria,pseudocrucigera,,,perennial
Mammillaria,sonorensis,,,perennial
Mammillaria,cadereytensis,,,perennial
Begonia,tatoniana,,,perennial
Euphorbia,talaina,,,perennial
Begonia,angularis,,,perennial
Begonia,arborescens,,,perennial
Begonia,bidentata,,,perennial
Begonia,maculata,,,perennial
Begonia,pulchella,,,perennial
Begonia,sanguinea,,,perennial
Schinus,terebinthifolius,,,perennial
Elephantopus,carolinianus,,,perennial
Gentiana,clausa,,,perennial
Nestronia,cuneata,,,perennial
Solanum,dimidiatum,,,perennial
Potamogeton,diversifolius,,,perennial
Potamogeton,epihydrus,,,perennial
Helenium,flexuosum,,,perennial
Potamogeton,foliosus,fibrillosus,,perennial
Epilobium,leptophyllum,,,perennial
Vernonia,missurica,,,perennial
Cercocarpus,montanus,,,perennial
Quercus,pagoda,,,perennial
Oenothera,pilosella,,,perennial
Amaranthus,pumilus,,,annual
Alisma,subcordatum,,,perennial
Elytranthe,pseudopsilantha,,,perennial
Neoeplingia,leucophylloides,,,perennial
Gunnera,monoica,,,perennial
Dendrophthoe,gibbosa,,,perennial
Rumex,marschallianus,,,annual
Mammillaria,carretii,,,perennial
Rumex,angulatus,,,perennial
Rumex,californicus,,,perennial
Rumex,nematopodus,,,perennial
Rumex,orthoneurus,,,perennial
Rumex,pamiricus,,,perennial
Rumex,pycnanthus,,,perennial
Rumex,similans,,,annual
Rumex,tomentellus,,,perennial
Rumex,transitorius,,,perennial
Rumex,aquitanicus,,,perennial
Begonia,caroliniifolia,,,perennial
Begonia,echinosepala,,,perennial
Nepeta,kokamirica,,,perennial
Nepeta,kokanica,,,perennial
Gentiana,olgae,,,perennial
Asperula,oppositifolia,,,annual/perennial
Ribes,roezlii,,,perennial
Begonia,roezlii,,,perennial
Silene,tatarinowii,,,perennial
Euphorbia,turkestanica,,,annual
Silene,turkestanica,,,perennial
Gentiana,walujewii,,,perennial
Cotoneaster,apiculatus,,,perennial
Populus,cathayana,,,perennial
Populus,koreana,,,perennial
Populus,pilosa,,,perennial
Abies,procera,,,perennial
Populus,purdomii,,,perennial
Malus,sargentii,,,perennial
Thalictrum,uncinnatum,,,perennial
Solanum,herba-bona,,,annual/perennial
Solanum,juncalense,,,perennial
Poa,szechuensis,,,annual/perennial
Mammillaria,centralifera,,,perennial
Mammillaria,limonensis,,,perennial
Mammillaria,zublerae,,,perennial
Galium,hirtiflorum,,,annual/perennial
Panicum,antidotale,,,perennial
Pedicularis,groenlandica,,,perennial
Eriogonum,capistratum,,,perennial
Dryas,drummondii,,,perennial
Ribes,hudsonianum,,,perennial
Begonia,albobracteata,,,perennial
Begonia,altissima,,,perennial
Begonia,axillaris,,,perennial
Begonia,axillipara,,,perennial
Begonia,barbellata,,,perennial
Begonia,beryllae,,,perennial
Begonia,bifolia,,,perennial
Begonia,congesta,,,perennial
Begonia,curtisii,,,perennial
Arceuthobium,dacrydii,,,perennial
Gaertnera,diversifolia,,,perennial
Begonia,eiromischa,,,perennial
Begonia,elatostemma,,,perennial
Begonia,flexicaulis,,,perennial
Begonia,flexula,,,perennial
Begonia,fruticella,,,perennial
Begonia,havilandii,,,perennial
Begonia,hullettii,,,perennial
Begonia,klossii,,,perennial
Begonia,laevis,,,perennial
Olax,laxiflora,,,perennial
Begonia,lepidella,,,perennial
Begonia,leucantha,,,perennial
Begonia,longicaulis,,,perennial
Begonia,pendula,,,perennial
Begonia,pentaphragmifolia,,,perennial
Begonia,phoeniogramma,,,perennial
Begonia,propinqua,,,perennial
Begonia,pryeriana,,,perennial
Begonia,pubescens,,,perennial
Begonia,rajah,,,perennial
Gaertnera,ramosa,,,perennial
Begonia,rhodantha,,,perennial
Begonia,rhoephila,,,perennial
Begonia,robinsonii,,,perennial
Begonia,rubida,,,perennial
Begonia,sarawakensis,,,perennial
Begonia,sarcocarpa,,,perennial
Begonia,sibthorpioides,,,perennial
Begonia,sogerensis,,,perennial
Begonia,tenericaulis,,,perennial
Begonia,tiomanensis,,,perennial
Begonia,trigonocarpa,,,perennial
Begonia,turbinata,,,perennial
Begonia,vandewateri,,,perennial
Begonia,variabilis,,,perennial
Begonia,tricornis,,,perennial
Phoradendron,agostinorum,,,perennial
Antidaphne,amazonensis,,,perennial
Phoradendron,anamariae,,,perennial
Phoradendron,apiciflorum,,,perennial
Phoradendron,apurense,,,perennial
Phoradendron,berryi,,,perennial
Dendrophthora,capitellata,,,perennial
Struthanthus,corymbifer,,,perennial
Oryctanthus,costulatus,,,perennial
Passovia?,delicatula,,,perennial
Phoradendron,dimerostachys,,,perennial
Struthanthus,eichlerianus,,,perennial
Phoradendron,falconense,,,perennial
Dendrophthora,filiformis,,,perennial
Phoradendron,filispicum,,,perennial
Agonandra,fluminensis,,,perennial
Psittacanthus,gracilipes,,,perennial
Psittacanthus,irwinii,,,perennial
Dendrophthora,jauana,,,perennial
Psittacanthus,julianus,,,perennial
Psittacanthus,lasserianus,,,perennial
Phoradendron,liesnerianum,,,perennial
Dendrophthora,longepedunculata,,,perennial
Phoradendron,luisense,,,perennial
Phoradendron,microps,,,perennial
Dendrophthora,microsoma,,,perennial
Psittacanthus,mirandensis,,,perennial
Psittacanthus,montis-neblinae,,,perennial
Phoradendron,morsicatum,,,perennial
Phoradendron,nigricans,,,perennial
Passovia?,organensis,,,perennial
Struthanthus,pariensis,,,perennial
Passovia?,pedicularis,,,perennial
Oryctanthus,phthirusoides,,,perennial
Oryctina,piranii,,,perennial
Struthanthus,porrectus,,,perennial
Psittacanthus,redactus,,,perennial
Struthanthus,rotundatus,,,perennial
Psittacanthus,rufescens,,,perennial
Phoradendron,scariosum,,,perennial
Phoradendron,staphylinum,,,perennial
Phoradendron,steyermarckii,,,perennial
Passovia?,steyermarkiana,,,perennial
Dendrophthora,steyermarkii,,,perennial
Oryctina,subaphylla,,,perennial
Passovia?,subcorymbosa,,,perennial
Passovia?,trichodes,,,perennial
Phoradendron,truncato-retusum,,,perennial
Gunnera,kauaiensis,,,perennial
Santalum,lanaiense,,,perennial
Pritchardia,munroi,,,perennial
Mammillaria,duwei,,,perennial
Mammillaria,viescensis,,,perennial
Silene,bridgesii,,,perennial
Silene,khasiana,,,perennial
Begonia,lophoptera,,,perennial
Krameria,grayi,,,perennial
Solanum,grayi,,,annual
Mammillaria,painteri,,,perennial
Poa,bactriana,,,perennial
Poa,bucharica,,,perennial
Poa,hissarica,,,perennial
Poa,lipskyi,,,perennial
Poa,sibirica,,,perennial
Poa,smirnowii,,,perennial
Poa,ussuriensis,,,perennial
Juncus,marginatus,,,perennial
Agrostis,gigantea,,,perennial
Betula,pendula,,,perennial
Silene,reinwardtii,,,annual
Crotalaria,spectabilis,,,annual
SILENE,UNIFLORA,,,perennial
Vicia,villosa,,,"annual, biennial/perennial"
Vicia,villosa,varia,,"annual, biennial/perennial"
Silene,cintrana,,,perennial
Ammannia,coccinea,,,annual
Ranunculus,hyperboreus,,,perennial
Cyperus,polystachyos,,,annual/biennial
Salix,interior,,,perennial
Phoenix,acaulis,,,perennial
Asparagus,adscendens,,,perennial
Opilia,amentacea,,,perennial
Momordica,dioica,,,perennial
Olax,imbricata,,,perennial
Viscum,monoicum,,,perennial
Erianthemum,montanum,,,perennial
Phoenix,paludosa,,,perennial
Olax,scandens,,,perennial
Nepeta,discolor,,,perennial
Potentilla,saundersiana,,,perennial
Galium,serpylloides,,,perennial
Populus,flexibilis,,,perennial
Carex,intumescens,,,perennial
Solanum,asperolanatum,,,perennial
Solanum,crispum,,,perennial
Solanum,filiforme,,,perennial
Solanum,incarceratum,,,perennial
Solanum,obliquum,,,perennial
Myoschilos,oblongum,,,perennial
Solanum,pendulum,,,perennial
Cervantesia,tomentosa,,,perennial
Mammillaria,grusonii,,,perennial
Bromus,anomalus,,,perennial
Euphorbia,lucorum,,,perennial
Euphorbia,pekinensis,,,perennial
Gentiana,tianschanica,,,perennial
Begonia,andina,,,perennial
Phoradendron,brittonianum,,,perennial
Struthanthus,divaricatus,,,perennial
Solanum,gilioides,,,annual
Passovia?,glandulosa,,,perennial
Phoradendron,inaequidentatum,,,perennial
Struthanthus,mapirensis,,,perennial
Struthanthus,nudipes,,,perennial
Begonia,oblanceolata,,,perennial
Aetanthus,ovalis,,,perennial
Solanum,physalifolium,,,annual/perennial
Dendrophthora,stricta,,,perennial
Begonia,subcaudata,,,perennial
Solanum,tenuispinum,,,perennial
Apodanthes,tribracteata,,,perennial
Begonia,unduavensis,,,perennial
Begonia,unilateralia,,,perennial
Solanum,agrimoniifolium,,,perennial
Antennaria,anaphaloides,,,perennial
Festuca,campestris,,,perennial
Solanum,canense,,,annual/perennial
Cirsium,engelmannii,,,perennial
Senecio,hydrophiloides,,,biennial/perennial
Ribes,inerme,,,perennial
Solanum,interius,,,annual/perennial
Antennaria,microphylla,,,perennial
Salix,niphoclada,,,perennial
Solanum,sambucinum,,,perennial
Solanum,subvelutinum,,,perennial
Hedysarum,sulphurescens,,,perennial
Artemisia,tripartita,,,perennial
Antennaria,umbrinella,,,perennial
Penstemon,wilcoxii,,,perennial
Phoradendron,rhipsalinum,,,perennial
Populus,simaroa,,,perennial
Thalictrum,pinnatum,,,perennial
Taraxacum,alpestre,,,perennial
Taraxacum,alpinum,,,perennial
Solanum,aphyodendron,,,perennial
Taraxacum,aquilonare,,,perennial
Lupinus,arcticus,,,perennial
Passovia?,bauhinii,,,perennial
Silene,bernardina,,,perennial
Iris,bracteata,,,perennial
Cardamine,breweri,,breweri,perennial
Picea,breweriana,,,perennial
Silene,campanulata,,,perennial
Taraxacum,ceratophorum,,,perennial
Taraxacum,cucullatum,,,perennial
Solanum,cucullatum,,,perennial
Exocarpos,dilatatus,,,perennial
Taraxacum,dissectum,,,perennial
Solanum,erosomarginatum,,,perennial
Taraxacum,fontanum,,,perennial
Thalictrum,fortunei,,,perennial
Populus,fremontii,,,perennial
Populus,fremontii,,,perennial
Delphinium,glaucum,,,perennial
Strombosia,gossweileri,,,perennial
Thalictrum,grandifolium,,,perennial
Silene,grayi,,,perennial
Lupinus,havardii,,,annual
Taraxacum,laevigatum,,,perennial
Silene,lemmonii,,,perennial
Strombosia,majuscula,,,perennial
Nolina,microcarpa,,,perennial
Ephedra,nevadensis,,,perennial
Juncus,nevadensis,,,perennial
Rumex,occidentalis,,,perennial
Silene,occidentalis,,,perennial
Taraxacum,officinale,,,perennial
Silene,oregana,,,perennial
Rhus,ovata,,,perennial
Rhus,ovata,,,perennial
Taraxacum,palustre,,,perennial
Silene,parishii,,,perennial
Strombosia,philippinensis,,,perennial
Strombosia,retevenia,,,perennial
Silene,sargentii,,,perennial
Solanum,tanysepalum,,,perennial
Silene,thurberi,,,perennial
Strombosia,toroensis,,,perennial
Ephedra,torreyana,,,perennial
Solanum,tribulosum,,,annual/perennial
Solanum,turgidum,,,perennial
Lonicera,utahensis,,,perennial
Allium,validum,,,perennial
Silene,verecunda,,,perennial
Dasylirion,wheeleri,,,perennial
Solanum,yanamonense,,,perennial
Lycium,tenuispinosum,,,perennial
Phoenix,andamanensis,,,perennial
Lepechinia,rossii,,,perennial
Asparagus,sichuanicus,,,perennial
Asparagus,yanbianensis,,,perennial
Asparagus,yanyuanensis,,,perennial
Solanum,galapagense,,,perennial
Heisteria,media,,,perennial
Populus,minhoensis,,,perennial
Cirsium,rhothophilum,,,perennial
Elatostema,oblongifolium,,,perennial
Begonia,daweishanensis,,,perennial
Begonia,guishanensis,,,perennial
Begonia,gulinqingensis,,,perennial
Begonia,malipoensis,,,perennial
Begonia,purpureofolia,,,perennial
Begonia,rotundilimba,,,perennial
Begonia,rubropunctata,,,perennial
Solanum,anomalostemon,,,perennial
Solanum,habrochaites,,,perennial
Stellaria,media,,,annual
Cirsium,barnebyi,,,perennial
Cirsium,joannae,,,perennial
Cirsium,ownbeyi,,,perennial
Asparagus,elephantinus,,,perennial
Asparagus,hirsutus,,,perennial
Asparagus,sylvicola,,,perennial
Nepeta,manchuriensis,,,perennial
Pilea,longipedunculata,,,perennial
Pilea,subedentata,,,perennial
Taxillus,tsaii,,,perennial
Gentiana,subuliformis,,,perennial
Amaranthus,blitoides,,,annual
Aralia,californica,,,perennial
Amaranthus,greggii,,,annual
Sidalcea,hendersonii,,,perennial
Amaranthus,palmeri,,,annual
Croton,palmeri,,,annual
Begonia,pringlei,,,perennial
Silene,spaldingii,,,perennial
Begonia,uniflora,,,perennial
Mammillaria,columbiana,,,perennial
Mammillaria,multiceps,,,perennial
Osyris,quadripartita,,,perennial
Rumex,yungningensis,,,perennial
Begonia,cauliflora,,,perennial
Begonia,chlorosticta,,,perennial
Begonia,erythrogyna,,,perennial
Begonia,imbricata,,,perennial
Begonia,kinabaluensis,,,perennial
Begonia,malachosticta,,,perennial
Psittacanthus,lasianthus,,,perennial
Passovia?,monetaria,,,perennial
Schoepfia,velutina,,,perennial
Salix,sitchensis,,,perennial
Salix,bebbiana,,,perennial
Picea,rubens,,,perennial
Juniperus,scopulorum,,,perennial
Ulmus,serotina,,,perennial
Ulmus,thomasii,,,perennial
Dendrophthora,arcuata,,,perennial
Trifolium,vesiculosum,,,annual
Lippia,micromera,,,perennial
Croton,lindheimerianus,,,annual
Juncus,roemerianus,,,perennial
Mammillaria,goodridgii,,,perennial
Mammillaria,pottsii,,,perennial
Mammillaria,voburnensis,,,perennial
Mammillaria,candida,,,perennial
Mammillaria,decipiens,,,perennial
Mammillaria,zephyranthoides,,,perennial
Anacolosa,papuana,,,perennial
Solanum,oxycarpum,,,perennial
Lycium,bosciifolium,,,perennial
Asparagus,nelsii,,,perennial
Lycium,villosum,,,perennial
Silene,komarovii,,,perennial
Silene,pseudotenuis,,,perennial
Carex,scoparia,,,perennial
Lycium,cestroides,,,perennial
Lycium,ciliatum,,,perennial
Amaranthus,crassipes,,,annual
Exocarpos,dasystachys,,,perennial
Ranunculus,eschscholtzii,,,perennial
Solanum,maglia,,,perennial
Fragaria,mexicana,,,perennial
Fragaria,nilgerrensis,,,perennial
Solanum,palustre,,,perennial
Solanum,stoloniferum,,,perennial
Solanum,verrucosum,,,perennial
Exocarpos,neocaledonicus,,,perennial
Asparagus,schumanianus,,,perennial
Exocarpos,spathulatus,,,perennial
Viscum,subserratum,,,perennial
Mammillaria,magallanii,,,perennial
Begonia,besleriifolia,,,perennial
Begonia,concinna,,,perennial
Begonia,depauperata,,,perennial
Begonia,hispida,,,perennial
Begonia,parvifolia,,,perennial
Begonia,peltifolia,,,perennial
Begonia,platanifolia,,,perennial
Begonia,undulata,,,perennial
Helianthus,maximiliani,,,perennial
Poa,supina,,,perennial
Bambusa,vulgaris,,,perennial
Solanum,atropurpureum,,,perennial
Carex,diandra,,,perennial
Avena,strigosa,,,annual
Euphorbia,densa,,,annual
Populus,pruinosa,,,perennial
Euphorbia,sororia,,,annual
Asparagus,breslerianus,,,perennial
Panicum,hemitomon,,,perennial
Viburnum,rafinesqueanum,,,perennial
Solanum,dasyphyllum,,,perennial
Pennisetum,purpureum,,,perennial
Heisteria,silvianii,,,perennial
Carex,albolutescens,,,perennial
Veronica,americana,,,perennial
Carex,deweyana,,,perennial
Carex,gracillima,,,perennial
Carex,muskingumensis,,,perennial
Carex,scabrata,,,perennial
Tragopogon,dubius,,,annual/biennial
Vicia,grandiflora,,,annual
Solanum,mauritianum,,,perennial
Sanguisorba,minor,,,perennial
Osyris,rhamnoides,,,perennial
Onobrychis,viciifolia,,,perennial
Melica,californica,,,perennial
Poa,leibergii,,,perennial
Muhlenbergia,porteri,,,perennial
Melica,spectabilis,,,perennial
Asparagus,aridicola,,,perennial
Asparagus,botswanicus,,,perennial
Asparagus,chimanimanensis,,,perennial
Asparagus,faulkneri,,,perennial
Asparagus,migeodii,,,perennial
Asparagus,radiatus,,,perennial
Asparagus,richardsiae,,,perennial
Asparagus,usambarensis,,,perennial
Solanum,forsteri,,,perennial
Solanum,adscendens,,,annual
Solanum,sarrachoides,,,annual
Silene,aellenii,,,annual
Potentilla,chinensis,,,perennial
Thalictrum,altaicum,,,perennial
Croton,vulpinus,,,perennial
Solanum,cordovense,,,perennial
Sagittaria,cuneata,,,perennial
Mammillaria,schwarzii,,,perennial
Mammillaria,zacatecasensis,,,perennial
Thalictrum,macrostylum,,,perennial
Carex,crus-corvi,,,perennial
Valeriana,rotundifolia,,,perennial
Viscum,cruciatum,,,perennial
Leptomeria,xiphoclada,,,perennial
Thalictrum,actaeifolium,,,perennial
Taxus,cuspidata,,,perennial
Silene,firma,,,annual/perennial
Malus,floribunda,,,perennial
Casuarina,glauca,,,perennial
Deutzia,gracilis,,,perennial
Humulus,japonicus,,,annual
Schoepfia,jasminodora,,,perennial
Spiraea,prunifolia,,,perennial
Pachysandra,terminalis,,,perennial
Lupinus,arboreus,,,perennial
Silene,regia,,,perennial
Pittosporum,viridiflorum,,,perennial
Gunnera,masafuerae,,,perennial
Exocarpos,psilotiformis,,,perennial
Korthalsella,remyi,,,perennial
Populus,girinensis,,,perennial
Populus,nakaii,,,perennial
Heisteria,amazonica,,,perennial
Chaunochiton,angustifolium,,,perennial
Heisteria,asplundii,,,perennial
Cathedra,bahiensis,,,perennial
Anacolosa,cauliflora,,,perennial
Douradoa,consimilis,,,perennial
Dulacia,cyanocarpa,,,perennial
Heisteria,duckei,,,perennial
Heisteria,huberiana,,,perennial
Heisteria,insculpta,,,perennial
Heisteria,maguirei,,,perennial
Cathedra,paraensis,,,perennial
Olax,pentandra,,,perennial
Tetrastylidium,peruvianum,,,perennial
Heisteria,skutchii,,,perennial
Alopecurus,alpinus,,,perennial
Ehrharta,calycina,,,perennial
Juncus,castaneus,,,perennial
Vaccinium,ovalifolium,,,perennial
RUMEX,PALUSTRIS,,,annual/perennial
Heisteria,parvifolia,,,perennial
Vaccinium,parvifolium,,,perennial
Rubus,pedatus,,,perennial
Begonia,picta,,,perennial
Eucalyptus,robusta,,,perennial
Eucalyptus,saligna,,,perennial
Solanum,stelligerum,,,perennial
Rumex,fascicularis,,,perennial
Mammillaria,xaltianguensis,,,perennial
Alopecurus,aequalis,,,perennial
Begonia,truncicola,,,perennial
Potentilla,aristata,,,perennial
Potentilla,contigua,,,perennial
Potentilla,festiva,,,perennial
Ximenia,caffra,,,perennial
Thesidium,fragile,,,perennial
Thesidium,hirtum,,,perennial
Begonia,adpressa,,,perennial
Begonia,atroglandulosa,,,perennial
Begonia,dewildei,,,perennial
Begonia,duncan-thomasii,,,perennial
Begonia,erectocaulis,,,perennial
Begonia,erectotricha,,,perennial
Begonia,heterochroma,,,perennial
Begonia,letouzeyi,,,perennial
Begonia,mbangaensis,,,perennial
Begonia,minuta,,,perennial
Begonia,pulcherrima,,,perennial
Begonia,stellata,,,perennial
Begonia,susaniae,,,perennial
Begonia,wilksii,,,perennial
Begonia,zairensis,,,perennial
Populus,sp.,,,perennial
Populus,sp.,,,perennial
Solanum,asymmetriphyllum,,,perennial
Lycium,ameghinoi,,,perennial
Prosopanche,bonacinae,,,perennial
Viscum,shirense,,,perennial
Carex,atherodes,,,perennial
Thalictrum,calabricum,,,perennial
Exocarpos,ceramicus,,,perennial
Ximenia,elliptica,,,perennial
Euphorbia,heyneana,,,annual
Begonia,integerrima,,,perennial
Solanum,laxum,,,perennial
Cansjera,madagascariensis,,,perennial
Rumex,nepalensis,,,perennial
Solanum,viride,,,perennial
Aptandra,liriosmoides,,,perennial
Heisteria,maytenoides,,,perennial
Artemisia,campestris,maritima,,perennial
Jasione,crispa,maritima,,perennial
Casuarina,cristata,cristata,,perennial
Ononis,repens,maritima,,perennial
Thymus,serpyllum,praecox,,perennial
Crassula,sieberana,sieberana,,annual
Erigeron,annuus,annuus,,annual/biannual/perennial
Erigeron,annuus,strigosus,,annual/biannual/perennial
Senecio,aquaticus,barbareifolius,,biennial
Dianthus,armeria,armeria,,annual
Myosotis,arvensis,arvensis,,biennial
Leontodon,autumnalis,autumnalis,,perennial
Daucus,carota,carota,,annual
Lapsana,communis,communis,,annual/perennial
Arrhenatherum,elatius,elatius,,perennial
Centaurium,erythraea,erythraea,,annual/biannual
