Genus,Species,Subspecies,Variant,Weight (g)
Ambavia,gerrardii,,,699.3513514
Amborella,trichopoda,,,3.675
Anaxagorea,panamensis,,,92.7
Anemopsis,californica,,,0.364
Aniba,sp.,,,505
Annickia,kummeriae,,,970.1699029
Annona,acuminata,,,36
Annona,cherimola,,,351.04
Annona,glabra,,,213
Annona,hayesii,,,62
Annona,hypoglauca,,,444
Annona,jahnii,,,31.13
Annona,muricata,,,396
Annona,neglecta,,,133
Annona,purpurea,,,897
Annona,reticulata,,,194.7
Annona,senegalensis,,,107.69
Annona,senegalensis,,senegalensis,117.8
Annona,sp.,,,133.3
Annona,spraguei,,,37
Annona,squamosa,,,267
Annona,urbaniana,,,337.1704
Aristolochia,albida,,,3.855
Aristolochia,baetica,,,28.16
Aristolochia,bracteolata,,,8.2581
Aristolochia,chapmaniana,,,6
Aristolochia,chilensis,,,6.7758
Aristolochia,clematitis,,,42.2156
Aristolochia,elegans,,,2.104
Aristolochia,iberica,,,19.3696
Aristolochia,maurorum,,,53
Aristolochia,maxima,,,8.6019231
Aristolochia,paecilantha,,,26.8788
Aristolochia,pallida,castellana,,9.5221102
Aristolochia,pontica,,,13.6461216
Aristolochia,ringens,,,4.3764
Aristolochia,rotunda,,,14.6428571
Aristolochia,sempervirens,,,27.2928
Aristolochia,tagala,,,4.8088
Aristolochia,taliscana,,,2.604
Aristolochia,tomentosa,,,29.2324
Artabotrys,brachypetalus,,,976.76
Artabotrys,hexapetalus,,,587
Artabotrys,monteiroae,,,268
Asarum,canadense,,,7.78
Asarum,europaeum,,,2.82
Asarum,hartwegii,,,9.523
Ascarina,lucida,,,0.55
Ascarina,philippinensis,,,1.1
Ascarina,polystachya,,,0.28
Ascarina,rubricaulis,,,0.303
Ascarina,solmsiana,,,0.733
Ascarina,swamyana,,,1.057
Asimina,parviflora,,,300.6
Asimina,triloba,,,847
Atherosperma,moschatum,,,1.583
Austrobaileya,scandens,,,365
Beilschmiedia,bancroftii,,,20179
Beilschmiedia,kweo,,,21111
Beilschmiedia,miersii,,,3745
Beilschmiedia,pendula,,,4744
Beilschmiedia,recurva,,,1261
Beilschmiedia,sp.,,,5600
Beilschmiedia,tarairi,,,2500
Beilschmiedia,tawa,,,1250
Beilschmiedia,tooram,,,5800
Beilschmiedia,volckii,,,24000
Bocageopsis,multiflora,,,200
Brasenia,schreberi,,,6.78
Brasenia,tuberosa,,,9.805
Cabomba,caroliniana,,,1.143
Calycanthus,floridus,,,59.4
Calycanthus,occidentalis,,,76.899
Cananga,odorata,,,61.6
Cassytha,ciliolata,,,38.102
Cassytha,filiformis,,,40.95
Cassytha,flindersii,,,20.9716
Cassytha,glabella,,,28.26
Cassytha,melantha,,,73.0328
Cassytha,pedicellosa,,,10.225
Cassytha,pubescens,,,38.97
Cephalosphaera,usambarensis,,,23377
Chimonanthus,praecox,,,109.6
Chloranthus,erectus,,,2.16
Chloranthus,fortunei,,,0.98
Chloranthus,henryi,,,1.346
Chloranthus,japonicus,,,1.66
Chloranthus,serratus,,,0.853
Chloranthus,sessilifolius,,,2.104
Chloranthus,spicatus,,,2.178
Chlorocardium,rodiei,,,35480
Cinnamomum,burmanii,,,97.3
Cinnamomum,camphora,,,108
Cinnamomum,cassia,,,390
Cinnamomum,cecidodaphne,,,3.84
Cinnamomum,glanduliferum,,,172.04
Cinnamomum,iners,,,262
Cinnamomum,laubatii,,,650
Cinnamomum,porrectum,,,33
Cinnamomum,subavenium,,,106
Cinnamomum,verum,,,261.1231884
Cinnamomum,zeylanicum,,,568.2
Cremastosperma,leiophyllum,,,220
Cryptocarya,alba,,,833.33
Cryptocarya,angulata,,,1600
Cryptocarya,concinna,,,386
Cryptocarya,corrugata,,,2119
Cryptocarya,grandis,,,1000
Cryptocarya,latifolia,,,4395.7219251
Cryptocarya,litoralis,,,727.8378378
Cryptocarya,mackinnoniana,,,652
Cryptocarya,melanocarpa,,,270
Cryptocarya,oblata,,,7650
Cryptocarya,onoprienkoana,,,668
Cryptocarya,pleurosperma,,,11000
Cryptocarya,putida,,,428
Cryptocarya,retusa,,,1257.826087
Cryptocarya,sp.,,,2100
Cryptocarya,triplinervis,,,281.281
Cryptocarya,woodii,,,608.8936
Cyathocalyx,ramuliflorus,,,110
Cymbopetalum,baillonii,,,333.5
Cymbopetalum,brasiliense,,,150.55
Daphnandra,johnsonii,,,13.7943723
Daphnandra,repandula,,,4.7
Daphnandra,tenuipes,,,5.1876
Doryphora,aromatica,,,10
Doryphora,sassafras,,,12.7428
Drimys,andina,,,4.443
Drimys,winteri,,,10.2
Drimys,winteri,,chilensis,3.5172
Drimys,xerophila,,,28.85
Duguetia,neglecta,,,310
Duguetia,quitarensis,,,425
Endiandra,bessaphila,,,1100
Endiandra,insignis,,,15763
Endiandra,longipedicellata,,,2004
Endiandra,monothyra,,,1900
Endiandra,montana,,,7550
Endiandra,palmerstonii,,,21945
Endiandra,sankeyana,,,5600
Endiandra,sideroxylon,,,4000
Endiandra,xanthocarpa,,,9800
Endlicheria,dysodantha,,,1230
Endlicheria,punctulata,,,800
Ephedranthus,guianensis,,,2450
Eupomatia,laurina,,,15.726
Euryale,ferox,,,60.35
Eusideroxylon,zwageri,,,28571
Fissistigma,sp.,,,310
Friesodielsia,obovata,,,315.9677
Friesodielsia,sp.,,,220
Galbulimima,belgraveana,,,0.9
Guatteria,acutissima,,,150
Gymnacranthera,eugeniifolia,,,200
Gymnacranthera,farquhariana,,,700
Gyrocarpus,americanus,tomentosus,,209.6356
Gyrocarpus,americanus,africanus,,371.64
Gyrocarpus,americanus,capuronianus,,289.28096
Gyrocarpus,americanus,,,361
Gyrocarpus,mocinoi,,,360.43
Hedycarya,angustifolia,,,1.82
Hedycarya,arborea,,,232
Hedycarya,loxocarya,,,35
Hedyosmum,bonplandianum,,,1.832
Hedyosmum,brasiliense,,,1.132
Hedyosmum,mexicanum,,,2.046
Hedyosmum,nutans,,,0.635
Hernandia,sonora,,,2506.6666667
Hexalobus,monopetalus,,,549.3421053
Horsfieldia,punctatifolia,,,1600
Houttuynia,cordata,,,0.05
Idiospermum,australiense,,,82000
Illicium,anisatum,,,37.24
Illicium,floridanum,,,6.1877
Illicium,henryi,,,4.2373
Illicium,parviflorum,,,8.084
Illicium,simonsii,,,31.2
Illicium,verum,,,47.6
Illigera,madagascariensis,,,90.5989045
Iryanthera,aff.,,,500
Iryanthera,cf.,,,1600
Iryanthera,juruensis,,,4000
Isolona,congolana,,,612
Iteadaphne,caudata,,,30.39944
Kadsura,coccinea,,,61.676
Kadsura,heteroclita,,,71.69
Kadsura,japonica,,,4.471
Kadsura,longipedunculata,,,3.018
Kadsura,oblongifolia,,,3.038
Knema,latericia,,,1670
Knema,laurina,,,1100
Laurelia,novae-zelandiae,,,12
Laurelia,philippiana,,,2
Laurelia,sempervirens,,,5.717
Laureliopsis,philippiana,,,1.3
Laurus,nobilis,,,508.4
Licaria,rigida,,,1237
Licaria,sp.,,,630
Licaria,velutina,,,3550
Lindera,benzoin,,,103
Lindera,communis,,,54.9
Lindera,erythrocarpa,,,48.7798107
Lindera,glauca,,,41.48
Lindera,latifolia,,,52.482
Lindera,megaphylla,,,363
Lindera,praecox,,,138.7
Lindera,queenslandica,,,281.15
Lindera,umbellata,,membranacea,105.93
Liriodendron,tulipifera,,,57.2
Litsea,accedens,,,290
Litsea,bindoniana,,,290
Litsea,calicaris,,,400
Litsea,costata,,,710
Litsea,glauca,,,312.5
Litsea,glaucescens,,,110
Litsea,glutinosa,,,156
Litsea,grandis,,,950
Litsea,leefeana,,,600
Litsea,martabanica,,,161.6
Litsea,panamonja,,,285.71
Litsea,polyantha,,,188.68
Litsea,pungens,,,24.3
Litsea,umbrosa,,,3333
Machilus,gammieana,,,3333
Macropiper,excelsum,,,1.9
Magnolia,acuminata,,,88.51
Magnolia,campbellii,,,118.99
Magnolia,dealbata,,,258.0995988
Magnolia,denudata,,,303.03
Magnolia,elegans,,,170
Magnolia,floribunda,,,147.2248
Magnolia,fraseri,,,99.85
Magnolia,fulva,,,88.628
Magnolia,grandiflora,,,72.9
Magnolia,hamorii,,,64.1532
Magnolia,insignis,,,54.8097826
Magnolia,kobus,,borealis,169
Magnolia,kobus,,,191
Magnolia,macrophylla,,,146.2
Magnolia,obovata,,,271
Magnolia,pallescens,,,52.2824
Magnolia,salicifolia,,,212.77
Magnolia,sieboldii,,,81.5
Magnolia,stellata,,,232.56
Magnolia,tripetala,,,263.16
Magnolia,virginiana,,,62.3
Magnolia,wilsonii,,,81.25
Magnolia,x,,,303.03
Malmea,aff.,,,1390
Malmea,depressa,,,1030
Malmea,diclina,,,1080
Melodorum,australis,,,38
Melodorum,leichhardtii,,,165.32
Mezzettia,parviflora,,,5600
Michelia,baillonii,,,88.5
Michelia,champaca,,michaelia,59
Michelia,champaca,,,168
Michelia,doltsopa,,,90.5
Michelia,macclurei,,,46.5
Michelia,montana,,,204.08
Michelia,oblonga,,,123.46
Michelia,velutina,,,135.14
Miliusa,balansae,,,388.92
Miliusa,longiflora,,,2381
Miliusa,tomentosa,,,417.4
Miliusa,velutina,,,343.8
Mkilua,fragrans,,,124.3755
Mollinedia,viridiflora,,,220
Monanthotaxis,boivinii,,,65.35
Monanthotaxis,buchananii,,,90.696
Monanthotaxis,caffra,,,125.2898551
Monanthotaxis,fornicata,,,56.82
Monanthotaxis,micrantha,,,100.32
Monanthotaxis,valida,,,167.0256
Monodora,grandidieri,,,619.852
Monodora,myristica,,,1520.24
Monodora,undulata,,,349.4
Myristica,cinnamomea,,,7900
Myristica,fragrans,,,7793
Myristica,maingayi,,,8200
Nectandra,amazonum,,,2032
Nectandra,ambigens,,,1800
Nectandra,sp.,,,11340
Neolitsea,dealbata,,,146
Neolitsea,parvigemma,,,320
Nothaphoebe,umbelliflora,,,2100
Nuphar,lutea,,,21.58
Nuphar,polysepalum,,,2.188
Nymphaea,alexii,,,0.8764
Nymphaea,georginae,,,11.6050725
Nymphaea,hastifolia,,,1.0656
Nymphaea,maculata,,,1.7668
Nymphaea,nouchalii,,caerulea,1.443
Nymphaea,odorata,,,5.86
Nymphaea,thermarum,,,0.927
Nymphaea,violacea,,,0.6908
Ocotea,acutifolia,,,581.5
Ocotea,dendrodaphne,,,310
Ocotea,duidensis,,,173.46
Ocotea,endresiana,,,750
Ocotea,floribunda,,,1643.32
Ocotea,leucoxylon,,,100
Ocotea,puberula,,,125.7
Ocotea,usambarensis,,,50
Ocotea,whitei,,,7300
Ondinea,purpurea,,,0.799
Orophea,sp.,,,700
Otoba,parvifolia,,,1815
Oxandra,espintana,,,375
Peperomia,abyssinica,,,0.224
Peperomia,bellendenkerensis,,,0.1676
Peperomia,blanda,,floribunda,0.27
Peperomia,coquimbensis,,,0.166
Peperomia,eekana,,,0.1228
Peperomia,enervis,,,0.25
Peperomia,fernandeziana,,,0.1916
Peperomia,glabella,,,0.1785
Peperomia,humilis,,,0.1183123
Peperomia,leptostachya,,,0.44
Peperomia,magnoliifolia,,,0.2046
Peperomia,myrtifolia,,,0.22
Peperomia,obtusifolia,,,0.0996
Peperomia,pellucida,,,0.1472
Peperomia,polystachya,,,0.2112
Peperomia,pseudopereskiifolia,,,1.068
Peperomia,retusa,,retusa,0.1848
Peperomia,septentrionalis,,,0.31192
Peperomia,sincorana,,,0.1
Peperomia,subblanda,,,0.1908
Peperomia,tetraphylla,,,0.2407
Peperomia,urocarpa,,,0.0904
Peperomia,urvilleana,,,0.187
Persea,americana,,,15308
Persea,breviflora,,,339
Persea,chinensis,,,337
Persea,lingue,,,1.45
Persea,macrantha,,,455
Persea,odoratissima,,,315.6
Phaeanthus,ophthalmicus,,,300
Phoebe,attenuata,,,555.56
Phoebe,cinnamomifolia,,,597.46
Phoebe,hainesiana,,,1000
Piper,aequale,,,0.09
Piper,amalago,,,1.36
Piper,arboreum,,,1.01
Piper,arieianum,,,1.3
Piper,auritum,,,9
Piper,caninum,,,21.0632
Piper,capense,,,2.548
Piper,capense,,brachyrhachis,4.1908
Piper,carrilloanum,,,0.04
Piper,cordulatum,,,3.12
Piper,culebranum,,,0.65
Piper,darienense,,,9.45
Piper,diguetii,,,1.7036
Piper,dilatatum,,,0.1
Piper,excelsum,psittacorum,,1.7864
Piper,grande,,,0.18
Piper,hispidum,,,0.3
Piper,jacquemontianum,,,0.86
Piper,marginatum,,,0.2
Piper,mullesua,,,2.0088
Piper,nigrum,,,31.63
Piper,peltatum,,,0.04
Piper,phytolaccaefolium,,,6.23
Piper,pseudofuligineum,,,0.35
Piper,reticulatum,,,5.2
Piper,rothianum,,,1.2
Piper,sancti-felicis,,,0.14
Piper,tuberculatum,,,1.06
Piper,umbellatum,,subpeltatum,0.073
Piper,urostachyum,,,2.56
Polyalthia,amicorum,,,139.432
Polyalthia,fragrans,,,3225.8
Polyalthia,longifolia,,,1674
Polyalthia,nitidissima,,,125
Polyalthia,pendula,,,129.2666667
Polyalthia,simiarum,,,2486
Polyalthia,sumatrana,,,820
Polyaulax,sp.,,,720
Pothomorphe,peltata,,,0.04
Pseudowintera,colorata,,,9.7
Pseudoxandra,polyphleba,,,397
Pycnanthus,angolensis,,,2000
Pycnanthus,kombo,,,1818
Ravensara,aromatica,,,8333.3
Rollinia,jimenezii,,,160
Rollinia,microsepala,,,40
Sageraea,elliptica,,,487.8
Sarcandra,glabra,,,1.23
Sarcandra,hainanensis,,,1.239
Saruma,henryi,,,2.3343
Sassafras,albidum,,,79
Saururus,cernuus,,,0.6756
Schisandra,arisanensis,,,5.996
Schisandra,bicolor,,,6.66
Schisandra,chinensis,,,6.878
Schisandra,elongata,,,12.9476
Schisandra,glabra,,,6.818
Schisandra,grandiflora,,,4.643
Schisandra,henryi,,,2.656
Schisandra,lancifolia,,,13.826
Schisandra,propinqua,,,4.735
Schisandra,repanda,,,12.243
Schisandra,sphaerandra,,,5.16
Siparuna,andina,,,10
Siparuna,guianensis,,,20
Sparattanthelium,tarapotanum,,,500
Tambourissa,cordifolia,,,111.5012931
Tambourissa,peltata,,,154.2321302
Tambourissa,quadrifida,,,92.5174825
Tasmannia,xerophila,,,28.85
Tetrasynandra,longipes,,,224
Thottea,siliquosa,,,2.2172
Toussaintia,orientalis,,,227.6
Trimenia,moorei,,,1.663
Trimenia,neocaledonica,,,5.715
Trimenia,papuana,,,4.359
Trimenia,weinmanniifolia,,,1.558
Umbellularia,californica,,,1801
Unonopsis,perrottetii,,,283.3
Unonopsis,rufescens,,,50
Unonopsis,stipitata,,,646.7
Uvaria,acuminata,,,80.246
Uvaria,chamae,,,96.3948
Uvaria,denhardtiana,,,205.84
Uvaria,kirkii,,,42.24
Uvaria,leptopoda,,,280
Uvaria,littoralis,,,232.16
Uvaria,lucida,,,61.1996
Uvaria,lucida,lucida,,70.8
Virola,calophylla,,,1310
Virola,guatemalensis,,,1962
Virola,michelii,,,2160
Virola,nobilis,,,2480
Virola,sebifera,,,701
Virola,surinamensis,,,1838
Warburgia,salutaris,,,171
Warburgia,ugandensis,,,5780
Xylopia,aromatica,,,41.04
Xylopia,cuspidata,,,165
Xylopia,ligustrifolia,,,75
Xylopia,longipetala,,,219.057
Xylopia,macrantha,,,150.9
Xylopia,malayana,,,110
Xylopia,richardii,,,97.5971993
Xylopia,sp.,,,740
Xymalos,monospora,,,158
Acampe,pachyglossa,,,0.0038272
Acanthephippium,sylhetense,,,0.0007
Acanthocarpus,preissii,,,53.584
Acanthostachys,strobilacea,,,9.1797235
Acianthera,angustifolia,,,0.0007341
Acis,fabrei,,,6.3857143
Acis,nicaeensis,,,9.0857143
Acis,trichophylla,,,1.971
Acorus,calamus,,,3.72
Acrachne,perrieri,,,0.09
Acrachne,racemosa,,,0.1962
Acroceras,amplectens,,,4.088
Acroceras,calcicola,,,0.6136
Acroceras,zizanioides,,,3.256
Adonidia,merrillii,,,2718
Aechmea,allenii,,,0.5872
Aechmea,anomala,,,0.53632
Aechmea,aquilega,,,1.3103526
Aechmea,bromeliifolia,,,2.4961538
Aechmea,coelestis,,coelestis,0.213
Aechmea,coelestis,,,0.4448
Aechmea,comata,,,0.4272
Aechmea,gamosepala,,,0.370922
Aechmea,gamosepala,,gamosepala,0.3
Aechmea,gracilis,,,0.37872
Aechmea,kertesziae,,,0.4666667
Aechmea,longifolia,,,5.098374
Aechmea,lueddemanniana,,,0.7353414
Aechmea,mertensii,,,2.6316
Aechmea,nudicaulis,,cuspidata,0.368
Aechmea,pabstii,,,3.26875
Aechmea,pimenti-velosoi,,,0.3625
Aechmea,recurvata,,ortgiesii,0.7384
Aechmea,winkleri,,,0.636
Aegilops,biuncialis,,,22.9
Aegilops,caudata,,,6.46
Aegilops,columnaris,,,21.7
Aegilops,comosa,comosa,,12.03
Aegilops,crassa,,,17.31
Aegilops,cylindrica,,,22.9
Aegilops,geniculata,,,48.83
Aegilops,juvenalis,,,18.76
Aegilops,kotschyi,,,11.8
Aegilops,longissima,,,9.5
Aegilops,mutica,,,3.8
Aegilops,neglecta,,,14.65
Aegilops,peregrina,,,44.71
Aegilops,searsii,,,5.89
Aegilops,sharonensis,,,11.1466488
Aegilops,sp.,,,7.43
Aegilops,speltoides,speltoides,,6.51
Aegilops,speltoides,,,16.56
Aegilops,tauschii,,,14.91
Aegilops,triuncialis,,,9
Aegilops,umbellulata,,,12.34
Aegilops,uniaristata,,,9.13
Aegilops,vavilovii,,,15.87
Aegilops,ventricosa,,,13
Aeluropus,lagopoides,,,0.264
Aeluropus,littoralis,,,121.5
Aerangis,confusa,,,0.0019268
Aerangis,fastuosa,,,0.0004085
Aerangis,hologlottis,,,2.96E-05
Aerangis,mystacidii,,,0.0003373
Aerangis,somalensis,,,0.0019268
Aeranthes,caudata,,,0.0001759
Aeranthes,setipes,,,0.0002155
Aerides,rosea,,,0.0693
Aframomum,alboviolaceum,,,32.88
Aframomum,angustifolium,,,22.5882
Aframomum,elliottii,,,14.28
Aframomum,strobilaceum,,,12.6844
Agapanthus,'Findlay's,,,5.4014085
Agapanthus,africanus,,,6.6
Agapanthus,inapertus,,,5.5
Agapanthus,inapertus,inapertus,,3.958
Agave,americana,,,8.98
Agave,angustiarum,,,5.6436
Agave,angustifolia,,,7.9704
Agave,atrovirens,,,8.3
Agave,attenuata,,,1.8392
Agave,bracteosa,,,2.3716
Agave,bulliana,,,5.632
Agave,cerulata,cerulata,,5.6772
Agave,chrysantha,,,7.6732
Agave,datylio,,,6.8764
Agave,deserti,,,9.381
Agave,filifera,,,1.7992
Agave,geminiflora,,,2.1
Agave,ghiesbreghtii,,,2.6924
Agave,karwinskii,,,9.998
Agave,kerchovei,,,2.8486
Agave,lecheguilla,,,5.5
Agave,lechuguilla,,,4.876
Agave,macroacantha,,,7.532
Agave,marmorata,,,3.174
Agave,maximiliana,,,7.9968
Agave,missionum,,,5.0674
Agave,mitis,,,1.5612
Agave,palmeri,,,7.8388
Agave,parryi,,,4.4
Agave,parryi,neomexicana,,7.08
Agave,parryi,,huachucensis,11.2924
Agave,pendula,,,2.0431373
Agave,potatorum,,,5.91
Agave,potreriana,,,1.4
Agave,salmiana,,,6.7404
Agave,salmiana,,ferox,9.3396
Agave,schottii,,,2.2
Agave,schottii,,schottii,4.8712
Agave,shawii,goldmaniana,,5.612
Agave,striata,,,3.024
Agave,stricta,,,2.9678
Agave,tequilana,,,5.918
Agave,toumeyana,toumeyana,,5.1444
Agave,triangularis,,,2.6108
Agave,utahensis,,,3.7556
Agave,vivipara,,vivipara,7.3109
Agave,xylonacantha,,,2.1116
Aglaonema,nitidum,,,98.1828571
Aglaonema,simplex,,,200
Agropyron,badamense,,,2.3072
Agropyron,caninum,,,3.1
Agropyron,ciliare,minor,,4.17
Agropyron,cristatum,x.,,13.7
Agropyron,cristatum,,,1.7
Agropyron,dasystachyum,,,3.3
Agropyron,desertorum,,,2.1
Agropyron,elongatum,,,5.26
Agropyron,glaucum,,,5.7
Agropyron,imbricatum,,,1.98
Agropyron,inerme,,,3.6
Agropyron,intermedium,,,5.7
Agropyron,junceum,,,6.2
Agropyron,michnoi,,,1.2656
Agropyron,obtusiusculum,,,6.7
Agropyron,repens,,,2.1
Agropyron,riparium,,,2.9
Agropyron,scabrum,,,0.668
Agropyron,scribneri,,,0.156
Agropyron,smithii,,,2.89
Agropyron,spicatum,,,4.8
Agropyron,tenerum,,,3.25
Agropyron,trachycaulum,,,3.2
Agropyron,trichophorum,,,5.6
Agropyron,tsukushiense,,,5.38
Agropyron,velutinum,,,3.5608
Agrostis,adamsonii,,,0.158
Agrostis,aemula,,,0.2408
Agrostis,alba,,,0.08
Agrostis,alpina,,,0.2768
Agrostis,australiensis,,,0.07
Agrostis,avenacea,,,0.1754
Agrostis,billardierei,,,0.422
Agrostis,canina,canina,,0.05
Agrostis,canina,montana,,0.06
Agrostis,canina,,,0.06
Agrostis,capillaris,,,0.075
Agrostis,castellana,,,0.17
Agrostis,clavata,,,0.1
Agrostis,curtisii,,,0.1024
Agrostis,delicatula,,,0.0722
Agrostis,emirnensis,,,0.0972
Agrostis,exarata,,,0.1052
Agrostis,gigantea,,,0.08
Agrostis,hyemalis,,palustris,0.07
Agrostis,hyemalis,,,0.05
Agrostis,limitanea,,,0.1156
Agrostis,meionectes,,,0.2272
Agrostis,micrantha,,,0.0688
Agrostis,muelleriana,,,0.0936
Agrostis,pallida,,,0.05
Agrostis,parviflora,,,0.0708
Agrostis,perennans,,,0.09848
Agrostis,pourretii,,,0.0564
Agrostis,propinqua,,,0.088
Agrostis,punicea,,,0.4652
Agrostis,robusta,,,0.3188
Agrostis,rudis,,,0.102
Agrostis,rupestris,,,0.108
Agrostis,scabra,,,0.077
Agrostis,schleicheri,,,0.202
Agrostis,stolonifera,,palustris,0.07
Agrostis,stolonifera,,,0.07
Agrostis,tenerrima,,,0.02132
Agrostis,tenuis,,,0.07
Agrostis,thurberiana,,,0.027
Agrostis,variabilis,,,0.077
Agrostis,venusta,,,0.144
Agrostis,vinealis,,,0.0606
Agrostocrinum,scabrum,,,1.7172
Aiphanes,minima,,,912.7
Aira,caryophyllea,,,0.14
Aira,cupaniana,,,0.043
Aira,elegantissima,,,0.0592
Aira,praecox,,,0.16
Airopsis,tenella,,,0.04688
Alania,endlicheri,,,0.0284
Albuca,abyssinica,,,2.6845
Albuca,acuminata,,,0.7184
Albuca,bracteata,,,1.0936
Albuca,canadensis,,,0.9
Albuca,clanwilliamae-gloria,,,2.4528
Albuca,cooperi,,,0.972
Albuca,donaldsonii,,,10.49
Albuca,exuviata,,,0.8
Albuca,fastigiata,,,2.2346
Albuca,glauca,,,1.858
Albuca,grandis,,,2.6856
Albuca,juncifolia,,,0.57
Albuca,nelsonii,,,2.15
Albuca,nigritana,,,1.8
Albuca,paradoxa,,,0.9848
Albuca,pendula,,,2.8316
Albuca,secunda,,,1.1665
Albuca,seineri,,,6.809
Albuca,setosa,,,1.3703
Albuca,shawii,,,1.1229
Albuca,sp.,,,4.8
Albuca,stapffii,,,5.0548
Albuca,suaveolens,,,1.026
Albuca,tubiformis,,,7.3956
Albuca,virens,,,1.34
Aletris,aurea,,,0.02292
Aletris,farinosa,,,0.018
Aletris,stenoloba,,,0.01168
Alisma,gramineum,,,0.37
Alisma,lanceolatum,,,0.472
Alisma,plantago-aquatica,orientale,,0.2532
Alisma,plantago-aquatica,,,0.5
Alisma,subcordatum,,,0.35744
Alisma,triviale,,,0.4224
Allium,acuminatum,,,2.3163
Allium,affine,,,2.0676
Allium,aflatunense,,,4.4864
Allium,alaicum,,,1.5076
Allium,albotunicatum,,,0.914
Allium,alexandrae,,,0.9268
Allium,altissimum,,,6.4408
Allium,amethystinum,,,2.0688
Allium,ampeloprasum,,porrum,2.7
Allium,ampeloprasum,,,2.313
Allium,amplectens,,,2.506
Allium,angulosum,,,1.5596
Allium,artemisietorum,,,0.62716
Allium,ascalonicum,,,0.707
Allium,aschersonianum,,,3.36
Allium,atropurpureum,,,2.3868
Allium,atrosanguineum,,atrosanguineum,2.7316
Allium,atroviolaceum,,,1.02
Allium,backhousianum,,,4.3936
Allium,barsczewskii,,,1.7452
Allium,basalticum,,,5.43
Allium,bigelowii,,,3.2132
Allium,bisceptrum,,,1.8868
Allium,bolanderi,,,1.795
Allium,brachyscapum,,,8.5764
Allium,caeruleum,,,1.7888889
Allium,caesium,,,1.1324
Allium,calabrum,,,0.8368
Allium,canadense,,,8.9
Allium,cardiostemon,,,1.2964539
Allium,carinatum,,,1.636
Allium,carinatum,pulchellum,,1.6516
Allium,carolinianum,,,1.894
Allium,cassium,,,0.97
Allium,cepa,,,3.32
Allium,cernuum,,,3.8577
Allium,cf.,,,1.9
Allium,commutatum,,,3.2564
Allium,crispum,,,1.606
Allium,cupani,cyprium,,0.3244
Allium,curtum,,,0.61
Allium,cyathophorum,,farreri,2.2608
Allium,cyrilli,,,26.56
Allium,denudatum,,,1.9022
Allium,dichlamydeum,,,3.092
Allium,dictyoprasum,,,1.2392
Allium,dodecadontum,,,1.9224
Allium,dolichostylum,,,1.9008
Allium,drummondii,,,1.47
Allium,dumetorum,,,7.0608
Allium,elegans,,,0.7332
Allium,erdelii,,,1.0964
Allium,ericetorum,,,1.66
Allium,erubescens,,,0.7836
Allium,falcifolium,,,3.426
Allium,fetisowii,,,0.7868
Allium,filidentiforme,,,1.392
Allium,flavum,tauricum,,1.8708
Allium,flavum,,,0.8074
Allium,fraseri,,,2.83
Allium,garbarii,,,0.6585106
Allium,geyeri,,,1.7676
Allium,gramineum,,,1.5856
Allium,griffithianum,,,0.338
Allium,gunibicum,,,1.3824
Allium,guttatum,guttatum,,0.3696
Allium,guttatum,sardoum,,0.5736
Allium,guttatum,,,0.726
Allium,haematochiton,,,2.0364
Allium,heldreichii,,,1.2944
Allium,hymenorhizum,,,0.8383
Allium,insubricum,,,4.16
Allium,jodanthum,,,1.3168
Allium,junceum,,,0.4492308
Allium,karataviense,,,6.2172
Allium,karelinii,,,0.708
Allium,kaschianum,,,1.3272
Allium,kokanicum,,,1.5508
Allium,korolkowii,,,0.6732
Allium,kunthianum,,,0.8372
Allium,lefkarense,,,0.5548
Allium,leucanthum,,,1.3976
Allium,libani,,,3.8984
Allium,litvinovii,,,0.6392
Allium,longifolium,,,3.09
Allium,lusitanicum,,,2.022
Allium,mairei,,,3.4764
Allium,margaritae,,,1.2404
Allium,materculae,,,3.248
Allium,melanantherum,,,4.6469136
Allium,melananthum,,,0.9148
Allium,meronense,,,6.76
Allium,moschatum,,,1.1256
Allium,narcissiflorum,,,4.54
Allium,neapolitanum,,,2.39
Allium,negevense,,,1.8975
Allium,nevii,,,3.36
Allium,nigrum,,,7.11
Allium,oleraceum,,,1.4238096
Allium,oreophiloides,,,1.4804
Allium,oreoprasum,,,2.9872
Allium,oreoscordum,,,1.8004
Allium,orientale,,,10.46
Allium,oschaninii,,,3.7468
Allium,pallasii,,,1.5964
Allium,pallens,,,0.3396
Allium,pangasicum,,,1.4256
Allium,paniculatum,paniculatum,,1.212
Allium,paniculatum,,,1.2
Allium,papillare,,,1.7056
Allium,parciflorum,,,0.5277251
Allium,peninsulare,,,1.938
Allium,petraeum,,,2.5868
Allium,phanerantherum,,,1.8853
Allium,platycaule,,,3.08
Allium,platyspathum,,,1.008
Allium,polyanthum,,,1.816
Allium,ponticum,,,1.5908
Allium,porrum,,,3.6
Allium,praecox,,,3.2
Allium,pruinatum,,,0.3564
Allium,pseudoflavum,,,0.8392
Allium,pseudostrictum,,,1.2448
Allium,pskemense,,,6.6262712
Allium,qasyunense,,,0.6744
Allium,rosenbachianum,,,11.0838
Allium,roseum,,,1.825
Allium,rothii,,,3.9465
Allium,rotundum,waldsteinii,,0.574
Allium,rotundum,,,1.4
Allium,rotundum,rotundum,,1.6632
Allium,rubellum,,,0.79
Allium,rubrovittatum,,,0.2583333
