sp_tpl,tpl_authority,order,family,genus,Lifeform,Seed.mass,Precip_Avg,Precip_SD,support,woodiness,nfixing,dormancy,lifeform_baskin,biome,table,rank,duplicated_sp,dormancy_g3,dormancy_g2
Goodia lotifolia,Salisb.,Fabales,Fabaceae,Goodia,,NA,1098,343.0232558,F,W,Yes,NA,NA,NA,NA,NA,no,NA,NA
Grayia spinosa,(Hook.) Moq.,Caryophyllales,Amaranthaceae,Grayia,,NA,807.5,287.7906977,NA,NA,NA,PD,shrub,"hot semidesert, desert",928,5733,yes,PD,PD
Grevillea stenobotrya,F.Muell.,Proteales,Proteaceae,Grevillea,,NA,664.5,206.0077519,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Grindelia hirsutula,Hook. & Arn.,Asterales,Asteraceae,Grindelia,,NA,1053.5,349.0310078,NA,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Hakea commutata,F.Muell.,Proteales,Proteaceae,Hakea,,NA,467.5,94.76744186,F,W,No,NA,NA,NA,NA,NA,no,NA,NA
Hakea corymbosa,R.Br.,Proteales,Proteaceae,Hakea,,NA,614,112.4031008,F,W,No,"ND,PD",shrub,matorral,1002,7067,no,"ND,PD","ND,PD"
Hakea crassifolia,Meisn.,Proteales,Proteaceae,Hakea,,NA,378,0,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Hakea laurina,R.Br.,Proteales,Proteaceae,Hakea,,NA,778.5,227.7131783,F,W,No,ND,shrub,matorral,1002,7091,no,ND,ND
Hakea lissocarpha,R.Br.,Proteales,Proteaceae,Hakea,,NA,733,205.03875970000001,F,W,No,"ND,PD",shrub,matorral,1002,7093,no,"ND,PD","ND,PD"
Hakea nitida,R.Br.,Proteales,Proteaceae,Hakea,,NA,713.5,173.8372093,F,W,NA,ND,shrub,matorral,1002,7101,no,ND,ND
Hakea pandanicarpa,R.Br.,Proteales,Proteaceae,Hakea,,NA,808.5,247.8682171,F,W,No,NA,NA,NA,NA,NA,no,NA,NA
Hakea strumosa,Meisn.,Proteales,Proteaceae,Hakea,,NA,538.5,100.9689922,F,W,No,NA,NA,NA,NA,NA,no,NA,NA
Hakea verrucosa,F.Muell.,Proteales,Proteaceae,Hakea,,NA,847,224.8062016,F,W,No,NA,NA,NA,NA,NA,no,NA,NA
Hedysarum boreale,Nutt.,Fabales,Fabaceae,Hedysarum,,NA,1190,415.8914729,NA,NA,NA,PY,herbaceous,"boreal, north-temperatured subalpine",1032,12526,no,PY,PY
Helianthemum squamatum,(L.) Dum.Cours.,Malvales,Cistaceae,Helianthemum,,NA,679,241.8604651,NA,NA,NA,PY,shrub,matorral,1002,7136,no,PY,PY
Helianthemum syriacum,(Jacq.) Dum.Cours.,Malvales,Cistaceae,Helianthemum,,NA,701.5,233.1395349,F,NA,No,NA,NA,NA,NA,NA,no,PY,PY
Helianthemum violaceum,(Cav.) Pers.,Malvales,Cistaceae,Helianthemum,,NA,771.5,216.8604651,NA,NA,NA,NA,NA,NA,NA,NA,no,PY,PY
Helianthus annuus,L.,Asterales,Asteraceae,Helianthus,,NA,2224,862.0155039,F,H,No,PD,herb-weed,temperate deciduous forest,1019,10470,no,PD,PD
Helianthus maximiliani,Schrad.,Asterales,Asteraceae,Helianthus,,NA,888.5,258.7209302,F,NA,NA,PD,forb,temperate grassland,1024,10872,yes,PD,PD
Helianthus NA,,Asterales,Asteraceae,Helianthus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Helichrysum cymosum,(L.) D.Don,Asterales,Asteraceae,Helichrysum,,NA,1278.5,383.5271318,F,variable,NA,NA,NA,NA,NA,NA,no,PD,PD
Helichrysum hamulosum,E.Mey. ex DC.,Asterales,Asteraceae,Helichrysum,,NA,515,137.5968992,F,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Helichrysum NA,,Asterales,Asteraceae,Helichrysum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Helichrysum patulum,(L.) D.Don,Asterales,Asteraceae,Helichrysum,,NA,660.5,155.2325581,F,NA,NA,PD,shrub,matorral,1002,7140,no,PD,PD
Helichrysum teretifolium,(L.) D.Don,Asterales,Asteraceae,Helichrysum,,NA,685.5,175.7751938,F,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Helictotrichon pratense,(L.) Pilg.,Poales,Poaceae,Helictotrichon,,NA,1246,349.2248062,F,H,No,NA,NA,NA,NA,NA,no,NA,NA
Helictotrichon pubescens,(Huds.) Schult. & Schult.f.,Poales,Poaceae,Helictotrichon,,NA,1418.5,492.4418605,F,H,NA,NA,NA,NA,NA,NA,no,NA,NA
Heliomeris multiflora,Nutt.,Asterales,Asteraceae,Heliomeris,,NA,760,250.7751938,F,NA,No,NA,NA,NA,NA,NA,no,NA,NA
Hemizonia fasciculata,(DC.) Torr. & A.Gray,Asterales,Asteraceae,Hemizonia,,NA,447.5,146.7054264,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Heracleum sphondylium,L.,Apiales,Apiaceae,Heracleum,,NA,1888.5,669.5736434,F,H,NA,NA,NA,NA,NA,NA,no,MPD,MPD
Hermannia disermifolia,Jacq.,Malvales,Malvaceae,Hermannia,,NA,317.5,102.1317829,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Hermannia hyssopifolia,L.,Malvales,Malvaceae,Hermannia,,NA,660.5,156.0077519,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Heterotheca villosa,(Pursh) Shinners,Asterales,Asteraceae,Heterotheca,,NA,879.5,284.6899225,F,NA,No,ND,shrub,woodland,1039,12122,no,ND,ND
Hilaria jamesii,(Torr.) Benth.,Poales,Poaceae,Hilaria,,NA,363.5,99.41860465,F,H,No,NA,NA,NA,NA,NA,no,NA,NA
Hirpicium alienatum,(Thunb.) Druce,Asterales,Asteraceae,Hirpicium,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Holcus lanatus,L.,Poales,Poaceae,Holcus,,NA,2714,1023.643411,F,H,No,ND,herb-weed,temperate deciduous forest,1019,10475,no,ND,ND
Hordeum brachyantherum,Nevski,Poales,Poaceae,Hordeum,,NA,1917,709.3023256,F,H,No,ND,graminoid,temperate grassland,1025,11161,no,ND,ND
Hypericum perforatum,L.,Malpighiales,Hypericaceae,Hypericum,,NA,2480.5,949.0310078,F,H,No,PD,weed,temperate grassland,1027,11248,no,PD,PD
Hypertelis salsoloides,(Burch.) Adamson,Caryophyllales,Molluginaceae,Hypertelis,,NA,627,232.9457364,F,variable,NA,NA,NA,NA,NA,NA,no,NA,NA
Indigofera monophylla,DC.,Fabales,Fabaceae,Indigofera,,NA,814,241.4728682,NA,NA,NA,NA,NA,NA,NA,NA,no,PY,PY
Inula salicina,L.,Asterales,Asteraceae,Inula,,NA,1415.5,525.3876,F,H,NA,NA,NA,NA,NA,NA,no,NA,NA
Isopogon trilobus,R.Br.,Proteales,Proteaceae,Isopogon,,NA,565,96.12403101,F,W,NA,PD,shrub,matorral,1002,7204,no,PD,PD
Jasione montana,L.,Asterales,Campanulaceae,Jasione,,NA,1357.5,432.751938,F,H,NA,NA,NA,NA,NA,NA,no,NA,NA
Jordaaniella spongiosa,(L.Bolus) H.E.K.Hartmann,Caryophyllales,Aizoaceae,Jordaaniella,,NA,119.5,26.5503876,NA,NA,NA,PD,herbaceous perennial,"hot semidesert, desert",931,5980,no,PD,PD
Juniperus osteosperma,(Torr.) Little,Pinales,Cupressaceae,Juniperus,,NA,764,249.2248062,F,W,NA,PD,tree,woodland,1038,12059,no,PD,PD
Juniperus thurifera,L.,Pinales,Cupressaceae,Juniperus,,NA,993,348.0620155,NA,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Kennedia prostrata,R.Br.,Fabales,Fabaceae,Kennedia,,NA,1339.5,456.3953488,F,NA,Yes,PY,shrub,matorral,1002,7233,yes,PY,PY
Knautia arvensis,(L.) Coult.,Dipsacales,Caprifoliaceae,Knautia,,NA,1556.5,488.1782946,F,H,No,PD,herbaceous weed,"boreal, north-temperatured subalpine",1032,12557,no,PD,PD
Koeleria macrantha,(Ledeb.) Schult.,Poales,Poaceae,Koeleria,,NA,1609.5,595.5426357,F,H,No,PD,graminoid,temperate grassland,1025,11164,no,PD,PD
Koeleria pyramidata,(Lam.) P.Beauv.,Poales,Poaceae,Koeleria,,NA,1184,425.9689922,F,H,No,PD,graminoid,temperate grassland,1025,11163,no,PD,PD
Krascheninnikovia ceratoides,(Pursh) Heklau,Caryophyllales,Amaranthaceae,Krascheninnikovia,,NA,1094,393.4108527,NA,NA,NA,PD,Halophyte,Salt Marsh/Desert,1113,13288,yes,PD,PD
Kunzea recurva,Schauer,Myrtales,Myrtaceae,Kunzea,,NA,699,205.4263566,F,W,NA,ND,shrub,matorral,1002,7241,no,ND,ND
Lathyrus pratensis,L.,Fabales,Fabaceae,Lathyrus,,NA,1467,511.2403101,C,H,Yes,PY,herbaceous weed,"boreal, north-temperatured subalpine",1032,12567,yes,PY,PY
Lathyrus tuberosus,L.,Fabales,Fabaceae,Lathyrus,,NA,1437,493.0232558,C,H,Yes,NA,NA,NA,NA,NA,no,PY,PY
Lavatera thuringiaca,L.,Malvales,Malvaceae,Lavatera,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,PY
Lebeckia sericea,Thunb.,Fabales,Fabaceae,Lebeckia,,NA,136.5,15.31007752,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Leipoldtia schultzei,Friedr.,Caryophyllales,Aizoaceae,Leipoldtia,,NA,417.5,144.379845,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Leontodon hispidus,L.,Asterales,Asteraceae,Leontodon,,NA,1197.5,365.6976744,F,H,No,ND,herb-nonweed,temperate deciduous forest,1018,10185,no,ND,ND
Leonurus cardiaca,L.,Lamiales,Lamiaceae,Leonurus,,NA,888,322.093,F,H,NA,NA,NA,NA,NA,NA,no,NA,NA
Lepidium subulatum,L.,Brassicales,Brassicaceae,Lepidium,,NA,707,179.4573643,F,NA,NA,PD,herb,matorral,1004,8043,no,PD,PD
Leptochloa dubia,(Kunth) Nees,Poales,Poaceae,Leptochloa,,NA,913,333.7209302,F,H,NA,PD,herbaceous perennial,"hot semidesert, desert",931,5990,no,PD,PD
Leptospermum erubescens,Schauer,Myrtales,Myrtaceae,Leptospermum,,NA,707.5,173.0620155,F,W,NA,PD,shrub,matorral,1002,7275,no,PD,PD
Leucanthemum ircutianum,(Turcz.) Turcz. ex DC.,Asterales,Asteraceae,Leucanthemum,,NA,1007.5,235.0775194,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Leucanthemum vulgare,(Vaill.) Lam.,Asterales,Asteraceae,Leucanthemum,,NA,2824,999.2248062,F,H,No,ND,herb-weed,temperate deciduous forest,1019,10403,no,ND,ND
Leymus cinereus,(Scribn. & Merr.) Á.Löve,Poales,Poaceae,Leymus,,NA,908.5,314.5348837,F,H,NA,PD,graminoid,temperate grassland,1025,11166,yes,PD,PD
Leysera gnaphalodes,(L.) L.,Asterales,Asteraceae,Leysera,,NA,618,201.9379845,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Liatris aspera,Michx.,Asterales,Asteraceae,Liatris,,NA,999,237.9844961,F,H,No,PD,forb,temperate grassland,1024,10915,no,PD,PD
Liatris punctata,Hook.,Asterales,Asteraceae,Liatris,,NA,1006.5,306.3953488,F,NA,NA,PD,forb,temperate grassland,1024,10919,yes,PD,PD
Linaria vulgaris,Mill.,Lamiales,Plantaginaceae,Linaria,,NA,1799.5,642.4418605,F,H,No,PD,herb-weed,temperate deciduous forest,1019,10500,yes,PD,PD
Linum austriacum,L.,Malpighiales,Linaceae,Linum,,NA,879.5,330.0387597,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Linum lewisii,Pursh,Malpighiales,Linaceae,Linum,,NA,1104.5,380.4263566,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Linum perenne,L.,Malpighiales,Linaceae,Linum,,NA,1055.5,340.503876,F,H,NA,PD,herbaceous,"boreal, north-temperatured subalpine",1032,12590,no,PD,PD
Linum pratense,(Norton) Small,Malpighiales,Linaceae,Linum,,NA,773,184.8837209,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Lotus corniculatus,L.,Fabales,Fabaceae,Lotus,,NA,2233,853.1007752,F,H,Yes,PY,herb-weed,temperate deciduous forest,1019,10505,no,PY,PY
Lotus maritimus,L.,Fabales,Fabaceae,Lotus,,NA,1272,382.5581395,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Lupinus argenteus,Pursh,Fabales,Fabaceae,Lupinus,,NA,1146,429.8449612,NA,NA,NA,PY+PD,herb,montane forest,1037,12009,no,PY+PD,PY+PD
Lupinus NA,,Fabales,Fabaceae,Lupinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Lupinus polyphyllus,Lindl.,Fabales,Fabaceae,Lupinus,,NA,2018,734.8837209,F,H,Yes,PY,forb,temperate grassland,1024,10944,no,PY,PY
Lycium andersonii,A. Gray,Solanales,Solanaceae,Lycium,,NA,396,134.8837209,NA,NA,NA,PD,shrub,"hot semidesert, desert",928,5759,no,PD,PD
Machaeranthera canescens,(Pursh) A.Gray,Asterales,Asteraceae,Machaeranthera,,NA,490.5,162.5968992,F,NA,No,NA,NA,NA,NA,NA,no,NA,NA
Machaeranthera tanacetifolia,(Kunth) Nees,Asterales,Asteraceae,Machaeranthera,,NA,647,191.4728682,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Maireana aphylla,(R. Br.) Paul G. Wilson,Caryophyllales,Amaranthaceae,Maireana,,NA,930.5,310.6589147,F,W,NA,NA,NA,NA,NA,NA,no,NA,PD
Maireana excavata,(J. M. Black) Paul G. Wilson,Caryophyllales,Amaranthaceae,Maireana,,NA,512.5,129.2635659,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,PD
Maireana rohrlachii,(Paul G. Wilson) Paul G. Wilson,Caryophyllales,Amaranthaceae,Maireana,,NA,485,111.2403101,F,NA,NA,NA,NA,NA,NA,NA,no,NA,PD
Malva moschata,L.,Malvales,Malvaceae,Malva,,NA,1636.5,480.8139535,NA,NA,NA,NA,NA,NA,NA,NA,no,PY,PY
Malva sylvestris,L.,Malvales,Malvaceae,Malva,,NA,2000,774.4186047,F,H,NA,NA,NA,NA,NA,NA,no,PY,PY
Manochlamys albicans,Aellen,Caryophyllales,Amaranthaceae,Manochlamys,,NA,446,153.1007752,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Medicago falcata,L.,Fabales,Fabaceae,Medicago,,NA,1418.5,530.0387597,F,H,Yes,PY,herb,matorral,1004,8106,yes,PY,PY
Medicago lupulina,L.,Fabales,Fabaceae,Medicago,,NA,1900.5,732.3643411,F,H,Yes,PY,herb-weed,temperate deciduous forest,1019,10511,yes,PY,PY
Medicago minima,(L.) L.,Fabales,Fabaceae,Medicago,,NA,1474,571.3178295,F,H,Yes,PY,herb,matorral,1004,8110,yes,PY,PY
Medicago sativa,L.,Fabales,Fabaceae,Medicago,,NA,1895,734.496124,F,H,Yes,PY,herb,temperate desert,1029,11416,yes,PY,PY
Melaleuca acuminata,F.Muell.,Myrtales,Myrtaceae,Melaleuca,,NA,533.5,121.5116279,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Melaleuca calycina,R.Br.,Myrtales,Myrtaceae,Melaleuca,,NA,548,97.28682171,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Melaleuca cucullata,Turcz.,Myrtales,Myrtaceae,Melaleuca,,NA,571,88.37209302,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Melaleuca glaberrima,F.Muell.,Myrtales,Myrtaceae,Melaleuca,,NA,462,69.76744186,F,W,NA,PD,shrub,matorral,1002,7327,no,PD,PD
Melaleuca hamata,Field. & G.A.Gardner,Myrtales,Myrtaceae,Melaleuca,,NA,577,144.9612403,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Melaleuca leptospermoides,Schauer,Myrtales,Myrtaceae,Melaleuca,,NA,545.5,99.80620155,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Melaleuca nematophylla,F.Muell. ex Craven,Myrtales,Myrtaceae,Melaleuca,,NA,517.5,110.6589147,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Melaleuca pentagona,Labill.,Myrtales,Myrtaceae,Melaleuca,,NA,631.5,179.2635659,F,W,NA,PD,shrub,matorral,1002,7330,no,PD,PD
Melaleuca suberosa,(Schauer) C.A.Gardner,Myrtales,Myrtaceae,Melaleuca,,NA,566,96.51162791,F,W,NA,PD,shrub,matorral,1002,7339,no,PD,PD
Melaleuca uncinata,R.Br.,Myrtales,Myrtaceae,Melaleuca,,NA,801,249.2248062,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Melaleuca undulata,Benth.,Myrtales,Myrtaceae,Melaleuca,,NA,589.5,111.8217054,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Melica californica,Scribn.,Poales,Poaceae,Melica,,NA,1070,346.8992248,F,NA,NA,PD,herb,woodland,1040,12186,no,PD,PD
Melica transsilvanica,Schur,Poales,Poaceae,Melica,,NA,952.5,280.8139535,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Melilotus albus,Medik.,Fabales,Fabaceae,Melilotus,,NA,1496,578.6821705,F,H,Yes,PY,weed,temperate grassland,1027,11259,yes,PY,PY
Melilotus officinalis,(L.) Pall.,Fabales,Fabaceae,Melilotus,,NA,1685,641.4728682,F,H,Yes,PY,weed,temperate grassland,1027,11260,no,PY,PY
Mentzelia aspera,L.,Cornales,Loasaceae,Mentzelia,,NA,566.5,199.0310078,NA,NA,NA,PD,Weed,Tropical Semievergreen Forest,917,4233,no,PD,PD
Monarda citriodora,Cerv. ex Lag.,Lamiales,Lamiaceae,Monarda,,NA,893.5,254.8449612,F,H,NA,NA,NA,NA,NA,NA,no,PD,PD
Moraea bellendenii,(Sweet) N.E.Br.,Asparagales,Iridaceae,Moraea,,NA,709.5,150.5813953,F,H,NA,NA,NA,NA,NA,NA,no,NA,NA
Myoporum insulare,R.Br.,Lamiales,Scrophulariaceae,Myoporum,,NA,2636.5,959.1085271,F,W,NA,NA,NA,NA,NA,NA,no,PD,PD
Myracrodruon urundeuva,Allemão,Sapindales,Anacardiaceae,Myracrodruon,,NA,1573.5,548.6434109,F,NA,No,"ND,PD",tree,"tropical savannas (dry woodlands,grasslands)",923,4988,no,"ND,PD","ND,PD"
Myrsine africana,L.,Ericales,Primulaceae,Myrsine,,NA,1944,733.3333333,F,W,NA,PD,Shrub,Tropical Montane,910,2650,no,PD,PD
Nassella pulchra,(Hitchc.) Barkworth,Poales,Poaceae,Nassella,,NA,1051,355.8139535,F,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Nassella viridula,(Trin.) Barkworth,Poales,Poaceae,Nassella,,NA,583,148.8372093,F,H,NA,PD,graminoid,temperate grassland,1025,11207,no,PD,PD
Nuytsia floribunda,R.Br.,Santalales,Loranthaceae,Nuytsia,,NA,689,196.8992248,F,W,No,PD,tree,matorral,1001,6341,no,PD,PD
Oenothera caespitosa,Gillies ex Hook. & Arn.,Myrtales,Onagraceae,Oenothera,,NA,NA,NA,NA,NA,NA,PD,herb,woodland,1040,12190,no,PD,PD
Oenothera elata,Kunth,Myrtales,Onagraceae,Oenothera,,NA,2085,779.8449612,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Oenothera pallida,Douglas ex Lindl.,Myrtales,Onagraceae,Oenothera,,NA,949.5,327.3255814,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Onobrychis arenaria,(Kit.) DC.,Fabales,Fabaceae,Onobrychis,,NA,768,147.6744186,NA,NA,NA,NA,NA,NA,NA,NA,no,PY,PY
Onobrychis viciifolia,Scop.,Fabales,Fabaceae,Onobrychis,,NA,1129,351.9379845,F,H,Yes,NA,NA,NA,NA,NA,no,PY,PY
Ononis spinosa,(Wallr.) Briq.,Fabales,Fabaceae,Ononis,,NA,1094.5,292.0542636,NA,NA,NA,PY,herbaceous weed,"boreal, north-temperatured subalpine",1032,12639,no,PY,PY
Ononis tridentata,L.,Fabales,Fabaceae,Ononis,,NA,759.5,200.1937984,F,NA,NA,NA,NA,NA,NA,NA,no,NA,PY
Origanum vulgare,L.,Lamiales,Lamiaceae,Origanum,,NA,1977.5,762.2093023,F,H,No,PD,herb-nonweed,temperate deciduous forest,1018,10218,yes,PD,PD
Ornithogalum thyrsoides,Jacq.,Asparagales,Asparagaceae,Ornithogalum,,NA,1280,442.248062,F,H,NA,NA,NA,NA,NA,NA,no,NA,NA
Oryzopsis hymenoides,(Roem. & Schult.) Ricker ex Piper,Poales,Poaceae,Oryzopsis,Graminoid,3.53,696,245.3488372,NA,NA,NA,PD,graminoid,temperate grassland,1025,11172,no,PD,PD
Osteospermum sinuatum,(DC.) Norl.,Asterales,Asteraceae,Osteospermum,,NA,335,123.255814,NA,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Othonna cylindrica,(Lam.) DC.,Asterales,Asteraceae,Othonna,,NA,300.5,97.86821705,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Oxytropis lambertii,Pursh,Fabales,Fabaceae,Oxytropis,,NA,531.5,165.3100775,NA,NA,NA,PY,herb,montane forest,1037,12013,no,PY,PY
Panicum virgatum,L.,Poales,Poaceae,Panicum,,NA,1640,596.5116279,F,H,No,PD,Herbaceous/Shrub,Non-Saline Sands,1120,13589,no,PD,PD
Papaver rhoeas,L.,Ranunculales,Papaveraceae,Papaver,,NA,1359,493.0232558,F,H,NA,MPD,herb-weed,temperate deciduous forest,1019,10531,no,MPD,MPD
Pappophorum NA,,Poales,Poaceae,Pappophorum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Pastinaca sativa,L.,Apiales,Apiaceae,Pastinaca,,NA,1148,375.5813953,F,NA,NA,"MD,MPD",herb-weed,temperate deciduous forest,1019,10532,no,"MD,MPD","MD,MPD"
Patersonia NA,,Asparagales,Iridaceae,Patersonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Patersonia occidentalis,R.Br.,Asparagales,Iridaceae,Patersonia,,NA,1207.5,364.1472868,F,H,NA,PD,herb,matorral,1004,8165,yes,PD,PD
Pelargonium capitatum,(L.) L'Hér.,Geraniales,Geraniaceae,Pelargonium,,NA,1003.5,337.4031008,F,variable,No,PY,shrub,matorral,1002,7373,no,PY,PY
Pelargonium cucullatum,(L.) L'Hér.,Geraniales,Geraniaceae,Pelargonium,,NA,1525,482.1705426,F,W,No,NA,NA,NA,NA,NA,no,NA,NA
Penstemon angustifolius,Nutt. ex Pursh,Lamiales,Plantaginaceae,Penstemon,,NA,572,148.8372093,NA,NA,NA,PD,forb,temperate grassland,1024,10986,no,PD,PD
Penstemon comarrhenus,A. Gray,Lamiales,Plantaginaceae,Penstemon,,NA,383.5,95.93023256,NA,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Penstemon eatonii,A. Gray,Lamiales,Plantaginaceae,Penstemon,,NA,670.5,217.6356589,NA,NA,NA,PD,herb,montane forest,1037,12021,yes,PD,PD
Penstemon NA,,Lamiales,Plantaginaceae,Penstemon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Penstemon palmeri,A. Gray,Lamiales,Plantaginaceae,Penstemon,,NA,484.5,152.9069767,NA,NA,NA,PD,herb,temperate desert,1029,11430,no,PD,PD
Penstemon speciosus,Douglas ex Lindl.,Lamiales,Plantaginaceae,Penstemon,,NA,924,315.8914729,NA,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Penstemon strictus,Benth.,Lamiales,Plantaginaceae,Penstemon,,NA,584.5,151.3565891,NA,NA,NA,PD,herb,temperate desert,1029,11433,no,PD,PD
Pentzia incana,(Thunb.) Kuntze,Asterales,Asteraceae,Pentzia,,NA,712,251.1627907,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Persicaria pensylvanica,(L.) M. Gómez,Caryophyllales,Polygonaceae,Persicaria,,NA,904.5,268.4108527,NA,NA,NA,PD,herb-weed,temperate deciduous forest,1019,10551,no,PD,PD
Phacelia crenulata,Torr. ex S. Watson,Boraginales,Boraginaceae,Phacelia,,NA,765,278.2945736,NA,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Pharnaceum confertum,Eckl. & Zeyh.,Caryophyllales,Molluginaceae,Pharnaceum,,NA,322,100.3875969,F,NA,NA,NA,NA,NA,NA,NA,no,NA,PD
Phebalium tuberculosum,Benth.,Sapindales,Rutaceae,Phebalium,,NA,415.5,95.54263566,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Phlomoides tuberosa,(L.) Moench,Lamiales,Lamiaceae,Phlomoides,,NA,723.5,197.0930233,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,PD
Pimpinella major,(L.) Huds.,Apiales,Apiaceae,Pimpinella,,NA,1261.5,338.5658915,NA,NA,NA,PD,herb-nonweed,temperate deciduous forest,1018,10229,no,PD,PD
Pimpinella saxifraga,L.,Apiales,Apiaceae,Pimpinella,,NA,1558,487.5968992,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Pinus halepensis,Mill.,Pinales,Pinaceae,Pinus,,NA,1774,674.8062016,F,W,NA,ND,tree,matorral,1001,6354,yes,ND,ND
Pinus pinaster,Aiton,Pinales,Pinaceae,Pinus,,NA,1559.5,562.2093023,F,W,NA,PD,tree,matorral,1001,6357,no,PD,PD
Plantago albicans,L.,Lamiales,Plantaginaceae,Plantago,,NA,690.5,267.6356589,F,NA,NA,PD,herbaceous annuals,"hot semidesert, desert",932,6154,yes,PD,PD
Plantago lanceolata,L.,Lamiales,Plantaginaceae,Plantago,,NA,2455.5,950.9689922,F,H,No,PD,herb-weed,temperate deciduous forest,1019,10540,no,PD,PD
Plantago media,L.,Lamiales,Plantaginaceae,Plantago,,NA,1438.5,462.2093023,NA,NA,NA,PD,herb-weed,temperate deciduous forest,1019,10542,no,PD,PD
Plantago ovata,Forssk.,Lamiales,Plantaginaceae,Plantago,,NA,679.5,263.372093,F,H,NA,PD,herbaceous annuals,"hot semidesert, desert",932,6158,yes,PD,PD
Plantago patagonica,Jacq.,Lamiales,Plantaginaceae,Plantago,,NA,1090.5,399.8062016,NA,NA,NA,PD,herbaceous annuals weed,"hot semidesert, desert",932,6160,yes,PD,PD
Poa angustifolia,L.,Poales,Poaceae,Poa,,NA,1611.5,591.6666667,F,H,NA,NA,NA,NA,NA,NA,no,NA,NA
Poa annua,L.,Poales,Poaceae,Poa,,NA,2442,943.0232558,F,H,No,PD,herb-weed,temperate deciduous forest,1019,10544,no,PD,PD
Poa compressa,L.,Poales,Poaceae,Poa,,NA,1529.5,542.0542636,F,H,No,NA,NA,NA,NA,NA,no,NA,NA
Poa fendleriana,(Steud.) Vasey,Poales,Poaceae,Poa,,NA,1443,520.15503880000006,F,NA,No,NA,NA,NA,NA,NA,no,NA,NA
Poa pratensis,L.,Poales,Poaceae,Poa,,NA,2195,823.6434109,F,H,No,PD,herb-weed,temperate deciduous forest,1019,10545,yes,PD,PD
Poa spiciformis,(Steud.) Hauman & Parodi,Poales,Poaceae,Poa,,NA,951,301.9379845,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Podalyria sericea,R.Br.,Fabales,Fabaceae,Podalyria,,NA,1151.5,338.5658915,F,W,Yes,PY,shrub,matorral,1002,7451,no,PY,PY
