sp_tpl,tpl_authority,order,family,genus,Lifeform,Seed.mass,Precip_Avg,Precip_SD,support,woodiness,nfixing,dormancy,lifeform_baskin,biome,table,rank,duplicated_sp,dormancy_g3,dormancy_g2
Chondrosum eriopodum,Torr.,Poales,Poaceae,Chondrosum,,0.34,1097,384.496124,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,PD
Chondrosum gracile,Kunth,Poales,Poaceae,Chondrosum,,0.39,1320,493.4108527,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,PD
Chrysocoma coma-aurea,L.,Asterales,Asteraceae,Chrysocoma,,NA,761.5,256.7829457,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Cichorium intybus,L.,Asterales,Asteraceae,Cichorium,,NA,1644,609.6899225,F,H,No,NA,NA,NA,NA,NA,no,NA,NA
Cirsium oleraceum,(L.) Scop.,Asterales,Asteraceae,Cirsium,,NA,1170.5,333.1395349,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Cistus clusii,Dunal,Malvales,Cistaceae,Cistus,,NA,754.5,203.6821705,F,W,NA,PY,shrub,matorral,1002,6691,no,PY,PY
Cleome lutea,Hook.,Brassicales,Cleomaceae,Cleome,,NA,262,50,NA,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Cleome serrulata,Pursh,Brassicales,Cleomaceae,Cleome,,NA,646,173.6434,NA,NA,NA,PD,herb,woodland,1040,12161,yes,PD,PD
Clinopodium vulgare,L.,Lamiales,Lamiaceae,Clinopodium,,NA,1595,497.6744186,F,H,NA,NA,NA,NA,NA,NA,no,NA,NA
Conicosia elongata,(Haw.) Schwantes,Caryophyllales,Aizoaceae,Conicosia,,NA,350,103.4883721,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Consolida regalis,Gray,Ranunculales,Ranunculaceae,Consolida,,NA,1089.5,325,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Coreopsis tinctoria,Nutt.,Asterales,Asteraceae,Coreopsis,,NA,1252.5,477.7131783,F,H,No,ND,herb-weed,temperate deciduous forest,1019,10410,no,ND,ND
Cota tinctoria,(L.) J.Gay,Asterales,Asteraceae,Cota,Forb,0.33,1110,308.9147287,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Cotula turbinata,L.,Asterales,Asteraceae,Cotula,,NA,740.5,204.8449612,F,NA,NA,NA,NA,NA,NA,NA,no,NA,ND
Crepis acuminata,Nutt.,Asterales,Asteraceae,Crepis,,NA,928,284.1085271,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Crepis biennis,Lapeyr.,Asterales,Asteraceae,Crepis,,NA,1117,353.875969,F,H,NA,NA,NA,NA,NA,NA,no,NA,NA
Croton setigerus,Hook.,Malpighiales,Euphorbiaceae,Croton,,NA,931,291.4728682,F,H,NA,NA,NA,NA,NA,NA,no,NA,NA
Cruciata pedemontana,(Bellardi) Ehrend.,Gentianales,Rubiaceae,Cruciata,,NA,983.5,243.9922481,F,H,NA,NA,NA,NA,NA,NA,no,NA,NA
Cyanus segetum,Hill,Asterales,Asteraceae,Cyanus,,NA,1337.5,426.1627907,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Cymbopogon marginatus,(Steud.) Stapf ex Burtt-Davy,Poales,Poaceae,Cymbopogon,,NA,625,181.3953488,F,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Cynoglossum officinale,L.,Boraginales,Boraginaceae,Cynoglossum,,NA,1272,409.3023256,NA,NA,NA,PD,herb-weed,temperate deciduous forest,1019,10417,no,PD,PD
Dactylis glomerata,L.,Poales,Poaceae,Dactylis,,NA,2445.5,941.6666667,F,H,No,PD,graminoid,temperate grassland,1025,11138,yes,PD,PD
Dalea candida,Willd.,Fabales,Fabaceae,Dalea,,NA,821,274.8062016,NA,NA,NA,PY,forb,temperate grassland,1024,10816,no,PY,PY
Dalea purpurea,Vent.,Fabales,Fabaceae,Dalea,,NA,844.5,243.2170543,NA,NA,NA,PY,forb,temperate grassland,1024,10817,no,PY,PY
Daucus carota,L.,Apiales,Apiaceae,Daucus,,NA,1733.5,669.9612403,F,H,No,MD,herb-weed,temperate deciduous forest,1019,10427,yes,MD,MD
Daviesia benthamii,Meissner,Fabales,Fabaceae,Daviesia,,NA,676.5,196.7054264,F,NA,Yes,NA,NA,NA,NA,NA,no,PY,PY
Daviesia emarginata,(Miq.) Crisp,Fabales,Fabaceae,Daviesia,,NA,582,112.7906977,NA,NA,NA,NA,NA,NA,NA,NA,no,PY,PY
Daviesia hakeoides,Meissner,Fabales,Fabaceae,Daviesia,,NA,665.5,195.1550388,NA,NA,NA,NA,NA,NA,NA,NA,no,PY,PY
Delphinium geyeri,Greene,Ranunculales,Ranunculaceae,Delphinium,,NA,397,82.55813953,NA,NA,NA,MPD,forb,temperate grassland,1024,10818,no,MPD,MPD
Descurainia pinnata,(Walter) Britton,Brassicales,Brassicaceae,Descurainia,,NA,906,330.2325581,NA,NA,NA,NA,NA,NA,NA,NA,no,PD,PD
Desmanthus illinoensis,(Michx.) MacMill.,Fabales,Fabaceae,Desmanthus,,NA,1193,441.0852713,NA,NA,NA,PY,forb,temperate grassland,1024,10821,no,PY,PY
Dianthus carthusianorum,L.,Caryophyllales,Caryophyllaceae,Dianthus,,NA,2031,642.248062,F,H,NA,NA,NA,NA,NA,NA,no,NA,PD
Dianthus deltoides,L.,Caryophyllales,Caryophyllaceae,Dianthus,,NA,1836.5,600.1937984,F,H,NA,NA,NA,NA,NA,NA,no,NA,PD
Dianthus giganteiformis,(A.Kern.) Soó,Caryophyllales,Caryophyllaceae,Dianthus,,NA,832,119.7674419,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,PD
Didelta carnosa,(L.f.) Aiton,Asterales,Asteraceae,Didelta,,NA,429,159.6899225,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Digitaria californica,(Benth.) Henrard,Poales,Poaceae,Digitaria,,NA,1167,423.255814,F,NA,NA,"ND,PD",herbaceous perennial,"hot semidesert, desert",931,5988,yes,"ND,PD","ND,PD"
Dimorphotheca pluvialis,(L.) Moench,Asterales,Asteraceae,Dimorphotheca,,NA,720.5,258.7209302,F,H,NA,PD,herbaceous annuals,"hot semidesert, desert",932,6101,no,PD,PD
Diplotaxis erucoides,(L.) DC.,Brassicales,Brassicaceae,Diplotaxis,,NA,697.5,257.5581395,F,H,NA,ND,herb,matorral,1004,7916,no,ND,ND
Distichlis spicata,(L.) Greene,Poales,Poaceae,Distichlis,,NA,1580.5,612.5968992,F,H,No,PD,herb,temperate desert,1029,11392,yes,PD,PD
Dodonaea bursariifolia,F.Muell.,Sapindales,Sapindaceae,Dodonaea,,NA,488.5,110.6589147,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Dodonaea coriacea,(Ewart & O.B.Davies) McGill.,Sapindales,Sapindaceae,Dodonaea,,NA,393.5,79.65116279,F,W,NA,NA,NA,NA,NA,NA,no,NA,NA
Dodonaea stenozyga,F.Muell.,Sapindales,Sapindaceae,Dodonaea,,NA,748,224.0310078,F,W,NA,PY,shrub,matorral,1002,6810,no,PY,PY
Dodonaea viscosa,(L.) Jacq.,Sapindales,Sapindaceae,Dodonaea,,NA,2897,1122.093023,F,W,No,PY,shrub,temperate deciduous forest,1015,9675,yes,PY,PY
Drosanthemum hispidum,(L.) Schwantes,Caryophyllales,Aizoaceae,Drosanthemum,,NA,736,266.6666667,F,NA,NA,PD,succulent perennials,"hot semidesert, desert",930,5840,no,PD,PD
Dryandra quercifolia,Meisn.,Proteales,Proteaceae,Dryandra,,NA,781,0,F,W,NA,PD,shrub,matorral,1002,6853,no,PD,PD
Echinacea angustifolia,DC.,Asterales,Asteraceae,Echinacea,,NA,770,179.8449612,F,H,No,PD,forb,temperate grassland,1024,10831,no,PD,PD
Echium vulgare,L.,Boraginales,Boraginaceae,Echium,,NA,2174,774.4186047,F,H,NA,PD,herb-weed,temperate deciduous forest,1019,10436,no,PD,PD
Ehrharta calycina,Sm.,Poales,Poaceae,Ehrharta,,NA,978,363.1782946,F,H,NA,PD,herbaceous perennial,"hot semidesert, desert",931,5994,no,PD,PD
Elymus canadensis,L.,Poales,Poaceae,Elymus,,NA,1446.5,509.1085271,F,H,No,PD,graminoid,temperate grassland,1025,11144,no,PD,PD
Elymus caninus,(L.) L.,Poales,Poaceae,Elymus,Graminoid,3.1,1406,460.4651163,NA,NA,NA,ND,herb,temperate deciduous forest,1017,9851,no,ND,ND
Elymus elymoides,(Raf.) Swezey,Poales,Poaceae,Elymus,,NA,1595.5,581.9767442,F,H,No,PD,herb,temperate desert,1029,11447,no,PD,PD
Elymus glaucus,Buckley,Poales,Poaceae,Elymus,,NA,1612,591.0852713,F,H,No,ND,herb,montane forest,1037,11987,no,ND,ND
Elymus lanceolatus,(Scribn. & J.G.Sm.) Gould,Poales,Poaceae,Elymus,,NA,1044.5,344.7674419,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Elymus multisetus,(J.G.Sm.) Burtt Davy,Poales,Poaceae,Elymus,,NA,1196.5,423.0620155,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Elymus NA,,Poales,Poaceae,Elymus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Elymus smithii,(Rydb.) Gould,Poales,Poaceae,Elymus,Graminoid,2.89,1372,455.8139535,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Elymus spicatus,(Pursh) Gould,Poales,Poaceae,Elymus,,NA,1155.5,383.9147287,NA,NA,NA,PD,herb,temperate desert,1029,11372,no,PD,PD
Elymus trachycaulus,(Link) Gould ex Shinners,Poales,Poaceae,Elymus,Graminoid,3.2,933.5,267.6356589,NA,NA,NA,PD,herb,temperate desert,1029,11373,no,PD,PD
Elymus virginicus,L.,Poales,Poaceae,Elymus,,NA,907.5,268.7984496,F,H,No,PD,graminoid,temperate grassland,1025,11148,yes,PD,PD
Elymus wawawaiensis,J.R.Carlson & Barkworth,Poales,Poaceae,Elymus,,NA,671.5,169.1860465,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Encelia californica,Nutt.,Asterales,Asteraceae,Encelia,,NA,388,125.1937984,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,PD
Enteropogon macrostachyus,(A.Rich.) Munro ex Benth.,Poales,Poaceae,Enteropogon,,NA,855,273.255814,F,NA,NA,NA,NA,NA,NA,NA,no,NA,NA
Eragrostis superba,Peyr.,Poales,Poaceae,Eragrostis,,NA,998.5,382.3643411,F,NA,No,PD,herbaceous weed,"tropical savannas (dry woodlands, grasslands)",926,5431,no,PD,PD
