"name","speciesid"
"Persicaria lapathifolia","Per_lap"
"Peucedanum alsaticum","Peu_als"
"Peucedanum cervaria","Peu_cer"
"Phleum phleoides","Phl_phl"
"Phragmites australis","Phr_aus"
"Picea abies","Pic_abi"
"Picris hieracioides","Pic_hie"
"Pilosella officinarum","Pil_off"
"Pilosella piloselloides subsp. bauhinii","Pil_pil1"
"Pinus sylvestris","Pin_syl"
"Platanthera bifolia","Pla_bif"
"Poa palustris","Poa_pal"
"Poa trivialis","Poa_tri"
"Podospermum purpureum","Pod_pur"
"Polygala comosa","Pol_com"
"Polygala major","Pol_maj"
"Polygonatum odoratum","Pol_odo"
"Polygala vulgaris","Pol_vul"
"Populus tremula","Pop_tre"
"Potentilla alba","Pot_alb"
"Potentilla anserina","Pot_ans"
"Potentilla erecta","Pot_ere"
"Potentilla heptaphylla","Pot_hep"
"Potentilla reptans","Pot_rep"
"Primula veris","Pri_ver"
"Prunella grandiflora","Pru_gra"
"Prunella laciniata","Pru_lac"
"Pulmonaria angustifolia","Pul_ang"
"Pulmonaria mollis","Pul_mol"
"Ranunculus arvensis","Ran_arv"
"Ranunculus auricomus","Ran_aur"
"Ranunculus bulbosus","Ran_bul"
"Ranunculus polyanthemos","Ran_pol"
"Ranunculus repens","Ran_rep"
"Reseda lutea","Res_lutea"
"Rhamnus cathartica","Rha_cat"
"Rhinanthus major","Rhi_maj"
"Rubus caesius","Rub_cae"
"Rubus vestitus","Rub_ves"
"Rumex crispus","Rum_cri"
"Rumex obtusifolius","Rum_obt"
"Sambucus nigra","Sam_nig"
"Saxifraga bulbifera","Sax_bul"
"Scorzoneroides autumnalis","Sco_aut"
"Scorzonera hispanica","Sco_his"
"Scrophularia nodosa","Scr_nod"
"Sedum sexangulare","Sed_sex"
"Senecio vulgaris","Sen_vul"
"Serratula tinctoria","Ser_tin"
"Seseli libanotis","Ses_lib"
"Setaria pumila","Set_pum"
"Sherardia arvensis","She_arv"
"Silene flos-cuculi","Sil_flo"
"Silene noctiflora","Sil_noc"
"Silene nutans","Sil_nut"
"Silene viscaria","Sil_visca"
"Sinapis arvensis","Sin_arv"
"Solanum americanum","Sol_ame"
"Solidago virgaurea","Sol_vir"
"Sonchus asper","Son_asp"
"Sonchus oleraceus","Son_ole"
"Stachys annua","Sta_ann"
"Stachys palustris","Sta_pal"
"Stellaria graminea","Ste_gra"
"Succisa pratensis","Suc_pra"
"Symphytum officinale","Sym_off"
"Symphytum tuberosum","Sym_tub"
"Tanacetum vulgare","Tan_vul"
"Teucrium chamaedrys","Teu_cha"
"Thalictrum lucidum","Tha_luc"
"Thalictrum simplex subsp. galioides","Tha_sim1"
"Thesium linophyllon","The_lin"
"Thlaspi perfoliatum","Thl_per"
"Thymus pulegioides","Thy_pul"
"Thymus pulegioides subsp. pannonicus","Thy_pul1"
"Torilis japonica","Tor_jap"
"Traunsteinera globosa","Tra_glo"
"Tragopogon orientalis","Tra_ori"
"Triticum aestivum","Tri_aes"
"Trifolium alpestre","Tri_alp"
"Trisetum flavescens","Tri_fla"
"Tripleurospermum inodorum","Tri_ino"
"Trifolium medium","Tri_med"
"Trifolium montanum","Tri_mont"
"Trifolium ochroleucon","Tri_och"
"Trifolium rubens","Tri_rub"
"Tussilago farfara","Tus_far"
"Urtica dioica","Urt_dio"
"Valeriana officinalis","Val_off"
"Veronica anagallis-aquatica","Ver_ana"
"Veronica arvensis","Ver_arv"
"Veronica austriaca subsp. teucrium","Ver_aus1"
"Veronica chamaedrys","Ver_cha"
"Verbascum chaixii subsp. austriacum","Ver_cha1"
"Veronica persica","Ver_per"
"Veronica polita","Ver_pol"
"Veronica serpyllifolia","Ver_ser"
"Veronica spicata","Ver_spi"
"Veronica spicata subsp. orchidea","Ver_spi1"
"Veronica officinalis","Vero_off"
"Vicia cracca","Vic_cra"
"Vicia hirsuta","Vic_hir"
"Vicia sativa subsp. nigra","Vic_sat1"
"Vicia sepium","Vic_sep"
"Vicia tenuifolia","Vic_ten"
"Vicia tetrasperma","Vic_tet"
"Vincetoxicum hirundinaria","Vin_hir"
"Viola arvensis","Vio_arv"
"Viola canina","Vio_can"
"Viola hirta","Vio_hir"
"Viola reichenbachiana","Vio_rei"
"Viola riviniana","Vio_riv"
