"Code","orig_name","old_name","name","speciesid"
87,"Centaurium erythraea subsp. erythraea","Centaurium erythraea subsp. erythraea","Centaurium erythraea","Cen_ery"
83,"Centaurea jacea","Centaurea jacea","Centaurea jacea","Cen_jac"
85,"Centaurea stenolepis","Centaurea stenolepis","Centaurea phrygia subsp. stenolepis","Cen_phr1"
84,"Centaurea scabiosa","Centaurea scabiosa","Centaurea scabiosa","Cen_sca"
88,"Cerastium arvense","Cerastium arvense","Cerastium arvense","Cer_arv"
89,"Cerastium brachypetalum agg.","Cerastium brachypetalum agg.","Cerastium brachypetalum","Cer_bra"
90,"Cerastium holosteoides subsp. vulgare","Cerastium holosteoides subsp. vulgare","Cerastium fontanum subsp. vulgare","Cer_fon1"
91,"Chaerophyllum aromaticum","Chaerophyllum aromaticum","Chaerophyllum aromaticum","Cha_aro"
241,"Microrrhinum minus","Microrrhinum minus","Chaenorhinum minus","Cha_min"
92,"Chamaecytisus virescens","Chamaecytisus virescens","Chamaecytisus virescens","Cha_vir"
93,"Chenopodium album agg.","Chenopodium album agg.","Chenopodium album","Che_alb"
94,"Chenopodium polyspermum","Chenopodium polyspermum","Chenopodium polyspermum","Che_pol"
95,"Cichorium intybus","Cichorium intybus","Cichorium intybus","Cic_int"
96,"Cirsium arvense","Cirsium arvense","Cirsium arvense","Cir_arv"
97,"Cirsium canum","Cirsium canum","Cirsium canum","Cir_can"
98,"Cirsium oleraceum","Cirsium oleraceum","Cirsium oleraceum","Cir_ole"
99,"Cirsium palustre","Cirsium palustre","Cirsium palustre","Cir_pal"
100,"Cirsium pannonicum","Cirsium pannonicum","Cirsium pannonicum","Cir_pan"
101,"Cirsium vulgare","Cirsium vulgare","Cirsium vulgare","Cir_vul"
102,"Clematis recta","Clematis recta","Clematis recta","Cle_rec"
103,"Clematis vitalba","Clematis vitalba","Clematis vitalba","Cle_vit"
104,"Clinopodium vulgare","Clinopodium vulgare","Clinopodium vulgare","Cli_vul"
105,"Colchicum autumnale","Colchicum autumnale","Colchicum autumnale","Col_aut"
108,"Convolvulus arvensis","Convolvulus arvensis","Convolvulus arvensis","Con_arv"
107,"Convallaria majalis","Convallaria majalis","Convallaria majalis","Con_maj"
106,"Consolida regalis","Consolida regalis","Consolida regalis","Con_reg"
111,"Corylus avellana","Corylus avellana","Corylus avellana","Cor_ave"
110,"Cornus sanguinea juv.","Cornus sanguinea","Cornus sanguinea","Cor_san"
113,"Crepis biennis","Crepis biennis","Crepis biennis","Cre_bie"
114,"Crepis praemorsa","Crepis praemorsa","Crepis praemorsa","Cre_pra"
115,"Crepis tectorum","Crepis tectorum","Crepis tectorum","Cre_tec"
116,"Cruciata verna","Cruciata verna","Cruciata glabra","Cru_gla"
117,"Cuscuta epithymum","Cuscuta epithymum","Cuscuta epithymum","Cus_epi"
86,"Centaurea triumfetti","Centaurea triumfetti","Cyanus triumfettii","Cya_tri"
118,"Cynosurus cristatus","Cynosurus cristatus","Cynosurus cristatus","Cyn_cri"
119,"Dactylis glomerata subsp. glomerata","Dactylis glomerata subsp. glomerata","Dactylis glomerata","Dac_glo"
120,"Dactylorhiza sambucina","Dactylorhiza sambucina","Dactylorhiza sambucina","Dac_sam"
121,"Danthonia decumbens","Danthonia decumbens","Danthonia decumbens","Dan_dec"
122,"Daucus carota","Daucus carota","Daucus carota","Dau_car"
124,"Deschampsia cespitosa","Deschampsia cespitosa","Deschampsia cespitosa","Des_ces"
123,"Descurainia sophia","Descurainia sophia","Descurainia sophia","Des_sop"
125,"Dianthus armeria","Dianthus armeria","Dianthus armeria","Dia_arm"
126,"Dianthus carthusianorum","Dianthus carthusianorum","Dianthus carthusianorum","Dia_car"
127,"Dipsacus fullonum","Dipsacus fullonum","Dipsacus fullonum","Dip_ful"
128,"Dorycnium pentaphyllum agg.","Dorycnium pentaphyllum agg.","Dorycnium pentaphyllum","Dor_pen"
129,"Dryopteris filix-mas","Dryopteris filix-mas","Dryopteris filix-mas","Dry_fil"
130,"Echinochloa crus-galli","Echinochloa crus-galli","Echinochloa crus-galli","Ech_cru"
131,"Elymus hispidus","Elymus hispidus","Elymus hispidus","Ely_his"
132,"Elymus repens subsp. repens","Elymus repens subsp. repens","Elymus repens","Ely_rep"
133,"Epilobium montanum","Epilobium montanum","Epilobium montanum","Epi_mon"
134,"Epilobium tetragonum agg.","Epilobium tetragonum agg.","Epilobium tetragonum","Epi_tet"
135,"Equisetum arvense","Equisetum arvense","Equisetum arvense","Equ_arv"
136,"Erigeron acris","Erigeron acris","Erigeron acris","Eri_acr"
137,"Erigeron annuus","Erigeron annuus","Erigeron annuus","Eri_ann"
109,"Conyza canadensis","Conyza canadensis","Erigeron canadensis","Eri_can"
138,"Eryngium campestre","Eryngium campestre","Eryngium campestre","Ery_cam"
139,"Erysimum cheiranthoides","Erysimum cheiranthoides","Erysimum cheiranthoides","Ery_che"
140,"Eupatorium cannabinum","Eupatorium cannabinum","Eupatorium cannabinum","Eup_can"
141,"Euphorbia cyparissias","Euphorbia cyparissias","Euphorbia cyparissias","Eup_cyp"
142,"Euphorbia esula subsp. esula","Euphorbia esula subsp. esula","Euphorbia esula","Eup_esu"
148,"Euphorbia virgata","Euphorbia virgata","Euphorbia esula subsp. tommasiniana","Eup_esu1"
143,"Euphorbia exigua","Euphorbia exigua","Euphorbia exigua","Eup_exi"
144,"Euphorbia falcata","Euphorbia falcata","Euphorbia falcata","Eup_fal"
145,"Euphorbia helioscopia","Euphorbia helioscopia","Euphorbia helioscopia","Eup_hel"
146,"Euphorbia illirica","Euphorbia illirica","Euphorbia illirica","Eup_ill"
147,"Euphorbia platyphyllos","Euphorbia platyphyllos","Euphorbia platyphyllos","Eup_pla"
150,"Fallopia convolvulus","Fallopia convolvulus","Fallopia convolvulus","Fal_con"
149,"Falcaria vulgaris","Falcaria vulgaris","Falcaria vulgaris","Fal_vul"
151,"Festuca arundinacea","Festuca arundinacea","Festuca arundinacea","Fes_aru"
153,"Festuca filiformis","Festuca filiformis","Festuca filiformis","Fes_fil"
154,"Festuca pratensis","Festuca pratensis","Festuca pratensis","Fes_pra"
155,"Festuca rubra","Festuca rubra","Festuca rubra","Fes_rub"
156,"Festuca rupicola","Festuca rupicola","Festuca rupicola","Fes_rup"
152,"Festuca cf. brevipila","Festuca brevipila","Festuca trachyphylla","Fes_tra"
158,"Filipendula vulgaris","Filipendula vulgaris","Filipendula vulgaris","Fil_vul"
160,"Fraxinus excelsior juv.","Fraxinus excelsior","Fraxinus excelsior","Fra_exc"
159,"Fragaria viridis (incl. F. vesca)","Fragaria viridis","Fragaria viridis","Fra_viri"
1,"Acer sp. juv.","Acer sp.","Acer spp","G_Ace_spp"
12,"Alchemilla sp.","Alchemilla sp.","Alchemilla spp","G_Alc_spp"
14,"Allium sp. (usually Allium carinatum, less often Allium oleraceum or A. vineale)","Allium sp.","Allium spp","G_All_spp"
28,"Arctium sp.","Arctium sp.","Arctium spp","G_Arc_spp"
112,"Crataegus sp. juv.","Crataegus sp.","Crataegus spp","G_Cra_spp"
157,"×Festulolium sp.","Festulolium sp.","Festulolium spp","G_Fes_spp"
161,"Galeopsis sp.","Galeopsis sp.","Galeopsis spp","G_Gal_spp"
231,"Malus sp. juv.","Malus sp.","Malus spp","G_Malu_spp"
297,"Prunus sp. juv.","Prunus sp.","Prunus spp","G_Pru_spp"
300,"Pyrus sp. juv.","Pyrus sp.","Pyrus spp","G_Pyr_spp"
301,"Quercus sp. juv.","Quercus sp.","Quercus spp","G_Que_spp"
313,"Rosa sp. juv.","Rosa sp.","Rosa spp","G_Ros_spp"
320,"Salix sp. juv.","Salix sp.","Salix spp","G_Sal_spp"
362,"Taraxacum sect. Taraxacum","Taraxacum sp.","Taraxacum spp","G_Tar_spp"
370,"Tilia sp. juv.","Tilia sp.","Tilia spp","G_Til_spp"
394,"Verbascum sp. (V. densiflorum, V. phlomoides or V. thapsus subsp. thapsus)","Verbascum sp.","Verbascum spp","G_Ver_spp"
162,"Galium album","Galium album","Galium album","Gal_alb"
163,"Galium aparine","Galium aparine","Galium aparine","Gal_apa"
164,"Galium boreale subsp. boreale","Galium boreale subsp. boreale","Galium boreale","Gal_bor"
165,"Galium pumilum","Galium pumilum","Galium pumilum","Gal_pum"
166,"Galium verum","Galium verum","Galium verum","Gal_ver"
