"Code","orig_name","old_name","name","speciesid"
332,"Securigera varia","Securigera varia","Securigera varia","Sec_var"
333,"Sedum sexangulare","Sedum sexangulare","Sedum sexangulare","Sed_sex"
335,"Senecio vulgaris","Senecio vulgaris","Senecio vulgaris","Sen_vul"
336,"Serratula tinctoria","Serratula tinctoria","Serratula tinctoria","Ser_tin"
216,"Libanotis pyrenaica","Libanotis pyrenaica","Seseli libanotis","Ses_lib"
337,"Setaria pumila","Setaria pumila","Setaria pumila","Set_pum"
338,"Setaria viridis","Setaria viridis","Setaria viridis","Set_vir"
339,"Sherardia arvensis","Sherardia arvensis","Sherardia arvensis","She_arv"
229,"Lychnis flos-cuculi","Lychnis flos-cuculi","Silene flos-cuculi","Sil_flo"
341,"Silene latifolia subsp. alba","Silene latifolia subsp. alba","Silene latifolia subsp. alba","Sil_lat1"
342,"Silene noctiflora","Silene noctiflora","Silene noctiflora","Sil_noc"
343,"Silene nutans","Silene nutans","Silene nutans","Sil_nut"
340,"Silaum silaus","Silaum silaus","Silaum silaus","Sil_sil"
418,"Viscaria vulgaris","Viscaria vulgaris","Silene viscaria","Sil_visca"
344,"Silene vulgaris","Silene vulgaris","Silene vulgaris","Sil_vul"
345,"Sinapis alba","Sinapis alba","Sinapis alba","Sin_alb"
346,"Sinapis arvensis","Sinapis arvensis","Sinapis arvensis","Sin_arv"
347,"Solanum nigrum","Solanum nigrum","Solanum americanum","Sol_ame"
348,"Solidago virgaurea subsp. virgaurea","Solidago virgaurea subsp. virgaurea","Solidago virgaurea","Sol_vir"
349,"Sonchus arvensis","Sonchus arvensis","Sonchus arvensis","Son_arv"
350,"Sonchus asper","Sonchus asper","Sonchus asper","Son_asp"
351,"Sonchus oleraceus","Sonchus oleraceus","Sonchus oleraceus","Son_ole"
352,"Stachys annua","Stachys annua","Stachys annua","Sta_ann"
45,"Betonica officinalis","Betonica officinalis","Stachys officinalis","Sta_off"
353,"Stachys palustris","Stachys palustris","Stachys palustris","Sta_pal"
354,"Stachys recta","Stachys recta","Stachys recta","Sta_rec"
355,"Stellaria graminea","Stellaria graminea","Stellaria graminea","Ste_gra"
356,"Stellaria media","Stellaria media","Stellaria media","Ste_med"
357,"Succisa pratensis","Succisa pratensis","Succisa pratensis","Suc_pra"
358,"Symphytum officinale","Symphytum officinale","Symphytum officinale","Sym_off"
359,"Symphytum tuberosum","Symphytum tuberosum","Symphytum tuberosum","Sym_tub"
360,"Tanacetum corymbosum","Tanacetum corymbosum","Tanacetum corymbosum","Tan_cor"
361,"Tanacetum vulgare","Tanacetum vulgare","Tanacetum vulgare","Tan_vul"
363,"Teucrium chamaedrys","Teucrium chamaedrys","Teucrium chamaedrys","Teu_cha"
364,"Thalictrum lucidum","Thalictrum lucidum","Thalictrum lucidum","Tha_luc"
365,"Thalictrum simplex subsp. galioides","Thalictrum simplex subsp. galioides","Thalictrum simplex subsp. galioides","Tha_sim1"
366,"Thesium linophyllon","Thesium linophyllon","Thesium linophyllon","The_lin"
367,"Thlaspi arvense","Thlaspi arvense","Thlaspi arvense","Thl_arv"
242,"Microthlaspi perfoliatum","Microthlaspi perfoliatum","Thlaspi perfoliatum","Thl_per"
369,"Thymus pulegioides","Thymus pulegioides","Thymus pulegioides","Thy_pul"
368,"Thymus pannonicus","Thymus pannonicus","Thymus pulegioides subsp. pannonicus","Thy_pul1"
371,"Torilis japonica","Torilis japonica","Torilis japonica","Tor_jap"
372,"Tragopogon dubius","Tragopogon dubius","Tragopogon dubius","Tra_dub"
374,"Traunsteinera globosa","Traunsteinera globosa","Traunsteinera globosa","Tra_glo"
373,"Tragopogon orientalis","Tragopogon orientalis","Tragopogon orientalis","Tra_ori"
389,"Triticum aestivum","Triticum aestivum","Triticum aestivum","Tri_aes"
375,"Trifolium alpestre","Trifolium alpestre","Trifolium alpestre","Tri_alp"
376,"Trifolium arvense","Trifolium arvense","Trifolium arvense","Tri_arv"
377,"Trifolium campestre","Trifolium campestre","Trifolium campestre","Tri_cam"
378,"Trifolium dubium","Trifolium dubium","Trifolium dubium","Tri_dub"
388,"Trisetum flavescens","Trisetum flavescens","Trisetum flavescens","Tri_fla"
379,"Trifolium hybridum","Trifolium hybridum","Trifolium hybridum","Tri_hyb"
380,"Trifolium incarnatum","Trifolium incarnatum","Trifolium incarnatum","Tri_inc"
387,"Tripleurospermum inodorum","Tripleurospermum inodorum","Tripleurospermum inodorum","Tri_ino"
381,"Trifolium medium","Trifolium medium","Trifolium medium","Tri_med"
382,"Trifolium montanum","Trifolium montanum","Trifolium montanum","Tri_mont"
383,"Trifolium ochroleucon","Trifolium ochroleucon","Trifolium ochroleucon","Tri_och"
384,"Trifolium pratense","Trifolium pratense","Trifolium pratense","Tri_pra"
385,"Trifolium repens","Trifolium repens","Trifolium repens","Tri_rep"
386,"Trifolium rubens","Trifolium rubens","Trifolium rubens","Tri_rub"
390,"Tussilago farfara","Tussilago farfara","Tussilago farfara","Tus_far"
391,"Urtica dioica","Urtica dioica","Urtica dioica","Urt_dio"
392,"Valeriana officinalis agg.","Valeriana officinalis agg.","Valeriana officinalis","Val_off"
395,"Veronica anagallis-aquatica","Veronica anagallis-aquatica","Veronica anagallis-aquatica","Ver_ana"
396,"Veronica arvensis","Veronica arvensis","Veronica arvensis","Ver_arv"
404,"Veronica teucrium","Veronica teucrium","Veronica austriaca subsp. teucrium","Ver_aus1"
397,"Veronica chamaedrys agg.","Veronica chamaedrys agg.","Veronica chamaedrys","Ver_cha"
393,"Verbascum chaixii subsp. austriacum","Verbascum chaixii subsp. austriacum","Verbascum chaixii subsp. austriacum","Ver_cha1"
400,"Veronica persica","Veronica persica","Veronica persica","Ver_per"
401,"Veronica polita","Veronica polita","Veronica polita","Ver_pol"
402,"Veronica serpyllifolia","Veronica serpyllifolia","Veronica serpyllifolia","Ver_ser"
403,"Veronica spicata subsp. spicata","Veronica spicata subsp. spicata","Veronica spicata","Ver_spi"
399,"Veronica orchidea","Veronica orchidea","Veronica spicata subsp. orchidea","Ver_spi1"
398,"Veronica officinalis","Veronica officinalis","Veronica officinalis","Vero_off"
406,"Vicia cracca","Vicia cracca","Vicia cracca","Vic_cra"
407,"Vicia hirsuta","Vicia hirsuta","Vicia hirsuta","Vic_hir"
405,"Vicia angustifolia","Vicia angustifolia","Vicia sativa subsp. nigra","Vic_sat1"
408,"Vicia sepium","Vicia sepium","Vicia sepium","Vic_sep"
409,"Vicia tenuifolia","Vicia tenuifolia","Vicia tenuifolia","Vic_ten"
410,"Vicia tetrasperma","Vicia tetrasperma","Vicia tetrasperma","Vic_tet"
411,"Vicia villosa","Vicia villosa","Vicia villosa","Vic_vil"
412,"Vincetoxicum hirundinaria","Vincetoxicum hirundinaria","Vincetoxicum hirundinaria","Vin_hir"
413,"Viola arvensis","Viola arvensis","Viola arvensis","Vio_arv"
414,"Viola canina","Viola canina","Viola canina","Vio_can"
415,"Viola hirta","Viola hirta","Viola hirta","Vio_hir"
416,"Viola reichenbachiana","Viola reichenbachiana","Viola reichenbachiana","Vio_rei"
417,"Viola riviniana","Viola riviniana","Viola riviniana","Vio_riv"
